word,rating
truth,2
legality,2
drug,3
stranger,2
band,3
hotel,3
material,4
lesson,2
victim,2
extent,2
burner,3
suggestion,2
dagger,3
site,2
consequence,2
thing,2
degree,2
unity,2
duty,2
combination,3
guess,2
tool,2
incentive,2
anger,4
manner,2
satisfaction,2
supply,2
bag,3
paragraph,2
neighborhood,3
trust,2
philosophy,2
route,2
father,2
wolf,4
vocabulary,2
incident,2
teacher,2
contract,2
factory,3
rabbit,4
reality,2
territory,2
chief,2
salary,2
outcome,2
past,2
assumption,2
institute,2
chicken,4
street,3
willingness,2
reinforcement,2
crocodile,4
diet,3
bet,2
entree,3
fog,5
rule,2
example,2
moment,2
uncle,2
deputy,2
cow,4
result,2
coincidence,2
thorn,3
fat,3
occasion,2
mile,2
advantage,2
rent,2
time,2
spirit,3
corporation,2
helmet,3
composer,2
distance,2
engagement,2
duel,2
gender,2
individual,2
specialist,2
mankind,2
sky,5
gesture,2
cliff,3
line,2
tree,4
promotion,2
donor,2
acquisition,2
leader,2
replacement,2
flask,3
obstruction,2
pest,2
confidence,2
episode,2
show,2
hurricane,4
eight,2
calendar,2
bank,2
meeting,2
necklace,3
opposition,2
miracle,3
peach,4
christmas,3
vision,3
tension,2
odor,3
inch,2
perception,2
appointment,2
cocktail,3
blade,3
truck,3
peacemaker,2
marriage,2
chair,3
cranberry,4
payment,2
belief,2
microscope,2
significance,2
speech,2
cause,2
loan,2
entrance,2
lock,2
tennis,2
bed,3
retention,2
skunk,3
silence,2
coffee,3
scholar,2
holiday,3
paradigm,2
river,4
limitation,2
volt,2
description,2
bird,4
diversity,2
salad,3
trumpet,2
child,2
march,2
stride,2
apology,2
boulder,3
fallacy,2
shortness,2
knowledge,2
kite,3
diamond,4
starch,3
hat,3
pimple,3
advice,2
costume,3
mileage,2
exception,2
mud,4
skin,3
brevity,2
blood,3
record,2
puppy,4
heap,2
lobster,3
robbery,2
spelling,2
stapler,2
fabric,3
vapor,3
poll,2
road,3
handkerchief,3
stick,2
hospital,2
job,2
grammar,2
radio,2
irrigation,2
genuine,2
location,2
personality,2
waste,2
darkness,4
island,3
guilt,2
pie,3
difference,2
mastery,2
bullet,3
insight,2
metaphor,2
lunch,3
faith,2
midnight,3
typewriter,2
bolt,2
wood,4
disappointment,2
ignition,2
quality,2
conclusion,2
ballot,2
bracelet,3
propeller,2
hierarchy,2
escape,2
definition,2
grasshopper,3
identity,2
skull,3
preference,2
temple,2
nose,3
interruption,2
item,2
mold,3
disagreement,2
zoo,2
cucumber,3
mother,2
crime,2
electricity,2
friendship,2
sight,2
sister,2
value,2
atrocity,2
ignorance,2
establishment,2
sow,2
charity,2
shame,2
woman,2
tradition,2
arc,2
refrigerator,2
sedative,2
safety,2
murder,2
fantasy,2
mustard,3
grandmother,2
liar,2
coupon,2
nation,2
animal,3
knife,3
reason,2
intention,2
honesty,2
uniform,3
protection,2
pool,2
addition,2
story,2
awareness,2
adventurer,2
fireplace,3
state,2
frog,4
performance,2
squeak,2
mansion,2
station,2
emergence,2
edge,2
division,2
issue,2
betrayal,2
linen,3
potato,3
grass,4
roof,3
kitten,4
punishment,2
bottle,3
sandal,3
number,2
irony,2
riddle,2
pretense,2
consideration,2
category,2
lisp,2
chance,2
queen,2
origin,2
brute,2
calculation,2
jerk,2
adversity,2
logic,2
majority,2
claim,2
selection,2
flavor,3
measure,2
ceiling,2
oven,2
apple,4
independence,2
affection,2
hurt,2
loafer,3
underworld,2
improvement,2
tip,2
method,2
view,2
name,2
translation,2
member,2
lake,4
macaroni,3
corpse,2
intelligence,2
alley,2
rainbow,5
love,2
beetle,3
ally,2
leopard,3
injury,2
uncertainty,2
justification,2
tendency,2
attitude,2
context,2
lemon,4
twig,3
aspect,2
door,2
menu,2
impairment,2
pond,4
water,4
capacity,2
self,2
figure,2
snow,5
moral,2
duck,4
cake,3
dentist,2
riot,2
risk,2
clothing,3
attempt,2
destiny,2
margin,2
brain,2
design,2
rhyme,2
exclusion,2
brawl,2
youth,2
prop,2
situation,2
peace,2
resort,2
explanation,2
effect,2
presence,2
gun,2
effort,2
disaster,2
park,2
horse,3
television,2
imagination,2
thought,2
sole,2
candy,4
unit,2
heart,3
damage,2
real,2
complication,2
comparison,2
germ,2
poetry,2
car,3
hope,2
tomato,3
writing,2
fight,2
arrangement,2
jewel,4
ditch,2
theory,2
debt,2
tide,4
stupidity,2
criticism,2
city,2
recital,2
mind,2
eyeball,3
lettuce,3
opportunity,2
corn,3
football,2
worry,2
beauty,2
phenomenon,2
talent,2
property,2
interior,2
revenge,2
convergence,2
appeal,2
impossibility,2
bandit,2
sugar,4
possibility,2
