word,rating
lake,1
ambition,5
chance,3
individual,2
apology,5
opponent,3
boredom,7
cowardice,6
beetle,1
silence,3
bet,3
animal,1
coupon,1
faith,5
liar,5
lip,1
tongue,1
originality,3
ankle,1
potato,1
accumulation,2
outfit,1
chair,1
cognition,3
station,1
disaster,4
real,2
dilemma,4
scene,2
ally,3
ownership,2
theory,2
reinforcement,2
puppy,3
guide,2
damage,2
circumstance,2
state,2
response,2
key,1
boat,1
degree,1
crown,1
myth,2
blood,2
deduction,2
forest,1
latch,1
tune,2
show,2
interior,1
starch,1
mankind,3
infection,2
fabric,1
wood,1
tragedy,6
germ,1
iron,1
spider,2
calendar,1
affection,7
photograph,2
territory,2
incident,2
vapor,1
dentist,2
sword,1
flavor,2
clean,2
consistency,2
appeal,3
identification,2
fact,1
route,1
linen,1
macaroni,1
skin,1
stride,2
writing,2
roof,1
menu,1
division,1
value,3
suit,1
lamp,1
personality,5
contract,1
cloth,1
amount,1
intention,4
magic,3
confidence,6
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,3
leopard,1
pigeon,1
clearance,1
opinion,3
play,3
heart,5
irrigation,1
clothing,1
distance,1
fate,4
calculation,1
number,1
wisdom,4
vocabulary,1
talent,3
character,4
nose,1
salad,1
tree,1
risk,4
definition,1
ditch,1
hobby,3
adversity,5
inn,1
butter,1
pyramid,1
tomato,1
riot,5
independence,4
itch,2
temple,1
teacher,2
brain,2
occupation,2
ignition,1
suspect,3
costume,1
door,1
necessity,2
equality,3
orchid,1
bag,1
dove,2
chlorine,1
reflex,2
conference,1
result,1
helmet,1
beauty,4
shortness,1
verse,2
exception,1
bird,1
circuit,1
queen,2
charter,1
principle,3
music,4
want,6
relief,7
moral,4
jerk,4
metaphor,2
scent,2
girl,2
tradition,3
development,2
crisis,5
bubble,1
camera,1
pond,1
decision,3
job,2
frustration,7
error,2
student,2
reputation,4
fear,7
tool,1
shrimp,1
refrigerator,1
empty,3
kindness,6
impairment,2
wish,6
alligator,1
moment,2
injury,3
master,2
file,1
factory,1
body,2
weight,1
tide,1
lemon,1
television,1
coffin,4
admiration,7
tip,1
complication,3
shock,6
past,2
park,1
line,1
nerve,3
income,1
specialist,2
lesson,2
cause,2
squeak,1
insight,4
hotel,1
peacemaker,4
law,2
conscience,5
misery,7
dimension,1
pill,1
alley,1
banana,1
pest,3
debt,3
march,2
justice,4
sanctuary,4
meeting,2
cucumber,1
expression,4
opera,3
significance,3
intelligence,3
object,1
tallness,1
grasshopper,1
purpose,4
mosquito,2
assault,5
pillow,1
anxiety,7
hope,7
fountain,1
benefactor,4
love,7
drum,1
stimulus,2
beverage,1
mountain,1
capacity,2
awareness,4
danger,5
raspberry,1
reality,2
acquisition,2
snow,1
appointment,2
ocean,1
wave,1
composer,2
guilt,7
payment,1
jacket,1
city,1
lamb,2
retention,1
requirement,2
miracle,4
segment,1
oven,1
kitten,3
trust,7
flask,1
preparation,2
imagination,4
bridge,1
towel,1
coincidence,3
context,2
hospital,3
article,1
mercy,6
rabbit,1
spirit,4
rebel,4
interruption,2
design,2
criticism,4
duty,4
fog,1
peach,1
professor,2
friendship,6
cup,1
length,1
form,1
lunch,1
square,1
empire,2
pimple,2
shirt,1
pile,1
abundance,3
visitor,2
responsibility,4
location,1
corporation,1
literature,3
laundry,1
landscape,2
eagle,1
presence,3
tendency,2
construction,1
regulation,1
rocket,1
church,2
doctor,2
topic,1
midnight,2
conclusion,2
neck,1
car,1
fat,2
volume,1
story,3
physics,1
security,4
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,4
possibility,2
suggestion,2
fallacy,2
robbery,4
assistance,3
distribution,1
skill,3
stranger,3
record,1
instructor,2
mold,1
occasion,2
hurricane,3
medicine,1
cocktail,1
institute,1
pig,1
guess,2
uncle,2
owner,2
hazard,4
desk,1
apple,1
pie,1
convergence,1
ability,3
democracy,3
grief,7
bed,1
fantasy,4
bolt,1
material,1
issue,2
rent,1
belief,5
rhyme,2
hat,1
variety,2
consideration,3
wage,1
arrow,1
identity,4
advice,3
corpse,4
contempt,7
message,2
math,1
paradigm,1
lightning,2
necklace,1
idea,2
assumption,2
future,2
bracelet,1
despair,7
stupidity,5
skunk,2
cat,1
size,1
method,1
pawn,1
laughter,6
cottage,1
ambulance,3
puddle,1
industry,1
effect,2
crocodile,1
proof,2
waste,3
immortality,3
economy,1
property,1
chocolate,2
scholar,2
incentive,3
coffee,1
tension,5
consequence,3
lobster,1
opportunity,3
uncertainty,5
volt,1
cake,1
justification,3
self,4
safety,5
fireplace,2
grammar,1
leader,3
establishment,1
irony,4
poll,1
fisherman,2
season,1
lane,1
odor,2
event,2
thief,4
saloon,1
extent,1
introduction,1
caterpillar,1
grandmother,3
entree,1
category,1
idiom,1
arc,1
winter,2
explanation,2
moonlight,2
figure,1
shark,2
hurt,7
member,1
riddle,2
adventurer,3
worry,7
accident,4
rainbow,2
emergence,2
mud,1
comprehension,3
lily,1
edge,1
behavior,4
stick,1
mustard,1
helplessness,7
zoo,1
loafer,2
perception,3
protection,4
hatred,7
typewriter,1
effort,4
soul,5
boulder,1
candidate,2
window,1
snake,2
art,4
promotion,3
cliff,1
item,1
sedative,2
lettuce,1
supply,1
spelling,1
logic,1
majority,1
denial,5
weather,1
malice,7
street,1
month,1
betrayal,7
exclusion,4
advantage,2
holiday,3
twig,1
competence,3
duck,1
mystery,4
temperature,1
water,1
impossibility,2
truck,1
toilet,1
reduction,1
foundation,2
handkerchief,1
time,1
wallet,1
steam,1
gender,2
bottle,1
dagger,2
university,1
orchestra,2
eight,1
onion,1
disagreement,5
ignorance,4
witness,2
cranberry,1
produce,1
kite,1
grass,1
preference,3
radio,1
leadership,4
microscope,1
prediction,2
donor,2
sofa,1
sister,3
entrance,1
deputy,2
woman,2
trumpet,1
acre,1
heap,1
magnitude,1
republic,1
manner,2
poetry,4
mastery,4
willingness,5
memory,4
tennis,1
hierarchy,1
group,1
second,1
salary,1
baby,4
fight,5
rule,1
regret,7
increase,1
volcano,2
outcome,2
duel,3
example,1
combination,1
pool,1
uniform,1
island,1
atrocity,6
freedom,5
policeman,2
peace,6
branch,1
victim,5
escape,4
resort,1
road,1
mind,4
replacement,1
missile,1
border,1
lion,1
dad,4
core,1
chicken,1
drug,2
father,3
translation,1
thought,3
disappointment,7
candy,1
performance,2
vision,3
nation,1
distraction,3
bandit,3
horse,1
knife,1
beast,2
neighborhood,1
sky,1
amplitude,1
crime,4
improvement,3
diamond,1
youth,3
beaver,1
instinct,4
pretense,4
lizard,1
claim,2
electricity,1
anger,7
comparison,1
three,1
charity,5
instance,1
prop,1
artist,3
loan,1
sneeze,1
attention,4
brother,3
bullet,1
destiny,4
underworld,2
wolf,1
limitation,2
episode,2
measure,1
quality,2
site,1
knowledge,2
difference,1
sugar,1
lock,1
lisp,2
child,3
importance,3
stapler,1
view,2
sight,2
truth,4
river,1
genuine,4
bedroom,1
accomplishment,5
integrity,5
murder,6
announcement,2
fifteen,1
skull,2
reason,2
correspondent,2
boundary,1
obstruction,1
boy,2
availability,1
phenomenon,1
brute,3
atom,1
deceit,6
honesty,6
description,1
attempt,3
unit,1
summer,2
propeller,1
sadness,7
sow,1
subtraction,1
bell,1
specimen,1
proportion,1
mileage,1
recognition,4
interaction,3
alphabet,1
food,1
ballot,1
annoyance,7
arrangement,1
attitude,5
sole,1
paragraph,1
synagogue,1
margin,1
frog,1
separation,4
palace,1
mansion,1
philosophy,2
money,2
smell,2
brawl,5
nurse,2
chief,2
gesture,3
disgust,7
drama,4
butterfly,1
photo,1
inch,1
football,1
darkness,3
aspect,1
gorilla,1
marriage,5
origin,1
recital,2
information,1
dynasty,1
legality,1
punishment,5
diversity,2
envy,7
heresy,3
speech,2
traveler,2
eyeball,1
unity,3
evidence,1
elephant,1
jewel,1
situation,2
blade,1
permission,2
gun,2
shape,1
engagement,5
selection,1
corn,1
thorn,2
tax,2
autumn,2
burner,1
satisfaction,7
revenge,7
diet,2
band,1
robin,1
brevity,1
psalm,2
bank,1
dozen,1
production,1
mile,1
mother,4
ceiling,1
determination,6
ceremony,2
enemy,5
shame,7
parish,1
standard,1
curfew,2
ball,1
ring,1
