word,rating
truth,3
legality,2
drug,4
stranger,2
band,3
hotel,2
material,6
lesson,3
victim,3
extent,2
burner,4
suggestion,3
dagger,5
site,2
consequence,4
thing,4
degree,3
unity,3
duty,3
combination,3
guess,3
tool,6
incentive,4
anger,3
manner,2
satisfaction,5
supply,4
bag,2
paragraph,2
neighborhood,3
trust,4
philosophy,2
route,3
father,4
wolf,4
vocabulary,2
incident,3
teacher,3
contract,3
factory,3
rabbit,3
reality,5
territory,3
chief,3
salary,3
outcome,4
past,3
assumption,3
institute,2
chicken,3
street,3
willingness,4
reinforcement,4
crocodile,4
diet,3
bet,3
entree,3
fog,4
rule,3
example,4
moment,3
uncle,3
deputy,2
cow,3
result,4
coincidence,2
thorn,5
fat,3
occasion,3
mile,2
advantage,4
rent,3
time,3
spirit,3
corporation,2
helmet,3
composer,2
distance,3
engagement,3
duel,5
gender,2
individual,3
specialist,3
mankind,3
sky,2
gesture,4
cliff,4
line,2
tree,4
promotion,3
donor,3
acquisition,3
leader,4
replacement,3
flask,2
obstruction,3
pest,3
confidence,4
episode,3
show,3
hurricane,4
eight,1
calendar,2
bank,2
meeting,2
necklace,2
opposition,3
miracle,3
peach,3
christmas,2
vision,3
tension,4
odor,4
inch,2
perception,4
appointment,2
cocktail,3
blade,5
truck,3
peacemaker,4
marriage,3
chair,2
cranberry,3
payment,3
belief,3
microscope,2
significance,3
speech,3
cause,3
loan,3
entrance,2
lock,2
tennis,3
bed,2
retention,3
skunk,3
silence,2
coffee,3
scholar,3
holiday,2
paradigm,2
river,3
limitation,3
volt,1
description,3
bird,3
diversity,3
salad,3
trumpet,3
child,3
march,3
stride,3
apology,4
boulder,3
fallacy,2
shortness,2
knowledge,3
kite,3
diamond,3
starch,2
hat,2
pimple,3
advice,3
costume,2
mileage,2
exception,3
mud,3
skin,4
brevity,2
blood,3
record,3
puppy,4
heap,3
lobster,4
robbery,4
spelling,2
stapler,2
fabric,4
vapor,3
poll,2
road,3
handkerchief,2
stick,3
hospital,2
job,3
grammar,2
radio,2
irrigation,2
genuine,3
location,2
personality,3
waste,3
darkness,3
island,3
guilt,3
pie,3
difference,3
mastery,4
bullet,4
insight,4
metaphor,3
lunch,3
faith,3
midnight,2
typewriter,2
bolt,2
wood,3
disappointment,3
ignition,3
quality,3
conclusion,3
ballot,2
bracelet,2
propeller,2
hierarchy,2
escape,3
definition,3
