word,response,properties
abominable,"Morally offensive
Causes deep disgust
Deserves extreme hatred
Completely unacceptable
Exceptionally unpleasant","['Morally offensive', 'Causes deep disgust', 'Deserves extreme hatred', 'Completely unacceptable', 'Exceptionally unpleasant']"
accessible,"Easy to reach
Usable by everyone
Has wheelchair ramps
No physical barriers
Simple to understand","['Easy to reach', 'Usable by everyone', 'Has wheelchair ramps', 'No physical barriers', 'Simple to understand']"
accurate,"Hits the bullseye
Zero errors
Matches facts
On target
Perfect measurement","['Hits the bullseye', 'Zero errors', 'Matches facts', 'On target', 'Perfect measurement']"
accusation,"Pointing a finger
Saying ""you did it""
Stating someone did wrong
Directed at a suspect
Requires evidence","['Pointing a finger', 'Saying ""you did it""', 'Stating someone did wrong', 'Directed at a suspect', 'Requires evidence']"
admiration,"Looking up to someone
Deeply impressed
Recognizing greatness
Gazing fondly
Wanting to be like them","['Looking up to someone', 'Deeply impressed', 'Recognizing greatness', 'Gazing fondly', 'Wanting to be like them']"
adoring,"Starry-eyed gaze
Putting someone on a pedestal
How fans watch an idol
How parents look at a newborn
Believing someone is absolutely perfect","['Starry-eyed gaze', 'Putting someone on a pedestal', 'How fans watch an idol', 'How parents look at a newborn', 'Believing someone is absolutely perfect']"
affection,"Emotional warmth
Caring feeling
Expressed with hugs
Gentle touch
Publicly displayed","['Emotional warmth', 'Caring feeling', 'Expressed with hugs', 'Gentle touch', 'Publicly displayed']"
affirmation,"Positive words
Repeated to yourself
Builds confidence
Reinforces self-worth
Spoken in a mirror","['Positive words', 'Repeated to yourself', 'Builds confidence', 'Reinforces self-worth', 'Spoken in a mirror']"
affordable,"Fits your budget
Within your means
Manageable cost
Easy to pay for
Won't break the bank","['Fits your budget', 'Within your means', 'Manageable cost', 'Easy to pay for', ""Won't break the bank""]"
aging,"Getting wrinkles
Turning gray
Losing youth
Body slowing down
Accumulating years","['Getting wrinkles', 'Turning gray', 'Losing youth', 'Body slowing down', 'Accumulating years']"
agitation,"Stirred up state
Nervous irritation
Cannot sit still
Constant pacing
Fidgeting","['Stirred up state', 'Nervous irritation', 'Cannot sit still', 'Constant pacing', 'Fidgeting']"
