word,rating
corporation,4
deputy,5
brawl,2
church,6
uncle,6
moral,6
faith,7
mountain,5
shirt,5
duel,3
hospital,4
lip,5
love,7
material,4
ambulance,3
enemy,2
event,5
honesty,7
tennis,5
missile,2
origin,5
waste,2
route,4
university,6
limitation,3
poetry,6
artist,6
instructor,5
salary,5
arrangement,5
personality,6
opposition,4
pretense,3
rent,4
possibility,5
ignition,3
circumstance,5
justification,5
gesture,5
lobster,4
insight,6
selection,5
accumulation,4
student,6
topic,5
philosophy,7
gorilla,4
myth,5
misery,2
truth,7
member,5
purpose,6
temperature,4
station,5
marriage,7
outcome,5
cliff,4
puddle,3
lens,5
skin,5
complication,3
peace,7
mustard,4
beverage,5
beaver,4
consistency,6
television,5
logic,6
chief,5
brain,6
cocktail,5
danger,3
pest,2
truck,4
mercy,7
metaphor,6
intelligence,7
damage,3
explanation,6
banana,5
beast,4
oven,5
body,5
holiday,7
theory,6
rocket,4
addition,5
integrity,7
pawn,3
form,5
supply,5
attention,6
hope,7
circuit,4
annoyance,2
memory,6
stimulus,4
proof,6
empty,3
rainbow,7
charter,5
mystery,6
desk,5
music,7
hat,5
length,4
stupidity,2
donor,6
thorn,3
cottage,5
mud,3
crocodile,4
atrocity,1
teacher,7
group,5
establishment,4
zoo,5
meeting,5
site,5
horse,6
interruption,3
dentist,4
originality,7
orchestra,6
christmas,7
ceiling,4
denial,2
want,5
expression,6
shock,3
idiom,5
toilet,4
animal,5
typewriter,4
legality,5
fountain,5
subtraction,4
victim,2
unit,5
requirement,5
car,6
security,6
preparation,5
season,6
sword,4
brevity,5
future,7
menu,5
helplessness,2
woman,7
rhyme,6
cow,5
duration,5
ballot,4
cat,6
hierarchy,4
incident,4
capacity,5
blade,4
grass,5
miracle,7
autumn,6
introduction,5
chlorine,3
jerk,2
outfit,5
frog,5
attempt,5
assault,2
ceremony,6
leader,6
fisherman,5
willingness,6
grammar,6
talent,7
criticism,4
appointment,5
river,6
clearance,4
ditch,3
phenomenon,6
island,6
permission,6
flask,4
tax,3
loafer,2
calculation,5
identity,7
starch,3
fat,4
ankle,4
development,6
tool,5
ownership,5
abundance,5
visitor,5
doctor,7
laundry,4
importance,7
inch,4
cranberry,5
arc,4
girl,6
chair,5
destiny,3
magic,7
square,4
saloon,3
jewel,6
eight,4
cake,7
lily,6
second,4
wave,5
ignorance,2
laughter,7
engagement,5
boat,5
debt,2
impossibility,2
conference,4
speech,5
blood,3
opponent,3
caterpillar,4
revenge,2
wood,5
grasshopper,4
definition,5
mattress,5
ocean,6
leadership,5
bell,5
grief,1
result,5
tendency,4
combination,5
measure,5
policeman,4
anxiety,2
shape,5
sneeze,3
raspberry,6
dagger,2
linen,5
factory,4
irrigation,4
volt,4
comparison,5
paradigm,5
odor,4
lock,5
dilemma,3
lightning,5
bet,4
acquisition,4
rabbit,6
potato,5
summer,7
ring,6
skill,6
construction,5
determination,6
volcano,5
episode,4
key,6
skull,3
stapler,4
witness,4
appeal,5
vocabulary,5
protection,6
reality,5
cloth,5
money,5
friendship,7
context,5
crime,2
writing,6
frustration,2
hog,3
window,5
mankind,5
suggestion,5
reflex,4
cowardice,1
behavior,5
scholar,6
wisdom,7
separation,2
disgust,1
leopard,4
pyramid,5
punishment,2
view,5
despair,1
football,6
hatred,1
segment,4
bank,5
professor,6
queen,6
robin,5
entrance,5
silence,6
alley,3
palace,6
lamp,5
recital,5
loan,4
chicken,5
vapor,4
fallacy,2
physics,6
hazard,2
dynasty,4
uncertainty,3
chance,5
snake,3
salad,6
design,6
bullet,2
snow,7
nose,5
clothing,6
guide,6
rule,4
stranger,3
fantasy,7
instance,5
exclusion,2
street,5
forest,6
occupation,5
neighborhood,5
scent,5
thought,6
refrigerator,4
hurricane,3
responsibility,5
intention,5
benefactor,6
shrimp,5
stick,4
burner,3
peacemaker,6
cause,5
bed,6
corn,5
economy,4
deduction,5
fact,6
equality,7
line,5
sight,5
tragedy,1
specimen,4
majority,5
bracelet,6
identification,5
three,5
bedroom,6
distraction,3
germ,3
medicine,6
value,6
cognition,6
volume,5
skunk,2
coincidence,4
nation,5
division,4
peach,7
shame,1
month,5
adversity,2
character,6
play,7
clean,6
coffin,2
alligator,3
jacket,5
atom,6
information,6
satisfaction,7
produce,5
youth,6
spelling,5
translation,5
pimple,2
difference,5
sadness,1
consequence,4
conscience,6
pie,7
ball,6
squeak,3
dozen,5
affection,7
contract,4
duty,6
door,4
paragraph,3
diamond,7
instinct,5
mile,2
democracy,6
safety,6
freedom,7
fog,3
curfew,2
past,4
onion,3
corpse,1
mastery,6
law,5
evidence,5
dimension,4
adventurer,5
moonlight,6
alphabet,4
sow,2
category,3
interaction,5
uniform,4
city,5
butterfly,7
error,2
sole,3
pig,3
lisp,2
knowledge,6
hobby,6
fear,2
competence,5
situation,4
coupon,3
opportunity,7
boundary,4
specialist,5
nerve,4
shortness,2
eagle,6
kite,5
boy,5
principle,5
drum,4
aspect,4
mind,6
trumpet,4
scene,4
heart,7
robbery,1
flavor,5
convergence,3
butter,5
tip,4
presence,6
spirit,6
drug,2
envy,2
math,4
candy,6
wish,5
retention,3
arrow,3
mileage,2
sanctuary,7
interior,4
obstruction,2
midnight,5
extent,3
vision,6
cucumber,3
fifteen,2
reason,5
object,4
assumption,4
beetle,3
edge,3
latch,2
ambition,6
temple,5
duck,4
incentive,5
band,4
brute,1
tune,5
weather,4
coffee,6
pile,3
magnitude,4
mansion,5
bag,3
brother,7
twig,2
item,3
pond,4
fate,5
tongue,4
winter,5
variety,5
distance,4
regulation,4
moment,5
macaroni,4
example,5
crown,6
underworld,2
march,3
eyeball,2
regret,2
reinforcement,3
amplitude,3
story,6
lettuce,4
conclusion,5
betrayal,1
iron,4
idea,6
industry,5
replacement,4
fight,2
nurse,6
spider,3
relief,7
psalm,5
belief,6
payment,4
name,5
bird,6
property,5
prop,3
inn,4
neck,4
decision,6
pigeon,2
kindness,7
republic,5
perception,5
degree,4
advantage,6
tree,6
availability,5
heap,3
tide,4
heresy,2
father,7
diversity,6
weight,3
reduction,3
dad,7
riddle,4
tradition,5
towel,3
margin,3
independence,7
synagogue,4
electricity,5
bolt,3
real,6
description,5
literature,6
hotel,5
opinion,5
lemon,5
food,7
lunch,6
entree,5
ally,6
gun,2
baby,7
malice,1
wallet,4
claim,3
newspaper,4
number,4
pool,5
escape,6
disagreement,2
grandmother,7
cup,5
water,7
exception,4
branch,4
bridge,6
beauty,7
message,5
occasion,5
puppy,7
foundation,5
manner,5
accomplishment,7
guess,4
consideration,6
resort,5
gender,5
hurt,2
apology,6
effect,5
comprehension,5
issue,4
significance,6
lesson,5
file,3
prediction,5
emergence,5
worry,2
parish,4
traveler,5
effort,5
boulder,3
fabric,4
crisis,1
art,6
child,7
anger,2
disappointment,1
darkness,2
amount,4
method,5
proportion,4
self,6
announcement,4
stride,5
propeller,3
calendar,4
admiration,7
necessity,5
confidence,7
empire,5
elephant,6
disaster,1
composer,6
radio,5
charity,7
article,4
individual,5
attitude,5
tallness,3
sky,6
genuine,7
show,5
advice,6
wolf,4
accident,2
production,5
reputation,5
sugar,6
orchid,6
microscope,4
performance,5
infection,2
rebel,4
poll,4
correspondent,4
lion,5
lake,6
riot,2
immortality,5
diet,5
recognition,6
photograph,6
tomato,5
awareness,6
state,4
location,4
tension,2
trust,7
suit,4
roof,3
opera,6
soul,7
lizard,3
risk,2
murder,1
imagination,7
thing,4
job,5
record,5
shark,4
mold,3
mosquito,2
sandal,4
pill,3
assistance,6
bubble,5
camera,5
owner,5
chocolate,7
irony,5
promotion,6
bandit,2
preference,5
chipmunk,4
size,4
contempt,1
unity,7
core,5
thief,2
increase,5
quality,6
helmet,4
liar,1
pillow,6
institute,4
acre,3
candidate,5
bottle,4
improvement,7
landscape,6
costume,5
border,4
steam,4
master,6
suspect,2
apple,7
ability,6
dove,7
lamb,7
sofa,5
boredom,2
wage,4
road,4
necklace,5
verse,5
guilt,1
distribution,4
lane,3
smell,5
itch,2
knife,3
park,5
sedative,3
injury,2
territory,4
income,5
photo,6
standard,5
sister,7
figure,5
justice,7
drama,6
response,5
kitten,7
fireplace,6
impairment,2
handkerchief,4
time,7
deceit,1
mother,7
