word,rating
suit,2
performance,3
cognition,2
hat,2
disappointment,2
city,5
independence,2
hotel,4
guilt,2
bubble,3
marriage,2
neighborhood,5
adversity,2
crown,2
fisherman,2
peach,2
lion,3
vapor,3
fantasy,2
advice,2
metaphor,2
blade,2
arc,3
lamp,2
square,4
accident,2
attitude,2
material,3
outcome,2
error,2
puddle,3
comparison,4
regulation,2
cowardice,1
engagement,2
site,4
professor,2
mosquito,2
mold,2
irony,1
contempt,1
purpose,2
knife,2
opportunity,3
curfew,2
despair,1
anxiety,1
cloth,3
truck,4
stride,4
three,6
mind,2
sword,3
spider,2
baby,3
inn,3
bullet,2
trumpet,2
costume,2
leopard,3
diversity,5
river,5
duty,2
math,4
bell,2
ceiling,3
blood,3
landscape,6
photograph,2
consideration,2
chief,3
witness,2
insight,2
fear,1
bird,2
butter,3
equality,4
perception,2
availability,3
weather,4
hierarchy,4
toilet,2
principle,2
propeller,2
future,4
riddle,2
promotion,3
annoyance,1
advantage,3
spelling,2
key,2
typewriter,2
sight,3
occasion,2
gun,2
odor,2
ambulance,3
past,4
lane,4
decision,2
volt,5
band,3
ocean,7
sedative,2
rabbit,2
opposition,3
clean,2
boy,3
riot,4
nerve,2
confidence,2
frustration,1
specialist,2
recognition,2
kitten,3
pawn,2
selection,3
mile,7
genuine,1
beetle,2
job,3
towel,2
issue,3
dynasty,5
sandal,2
establishment,4
dagger,2
neck,2
stapler,2
fight,3
lightning,3
lunch,3
second,4
child,3
exclusion,3
description,3
art,2
suggestion,2
development,4
magnitude,7
institute,4
sow,2
alley,4
time,5
honesty,1
produce,3
arrangement,3
bag,3
intention,2
group,5
body,4
rebel,2
midnight,2
drama,3
distraction,2
bracelet,2
proportion,7
horse,4
crime,3
core,3
personality,2
park,5
disaster,5
cocktail,2
suspect,2
philosophy,3
literature,4
limitation,5
magic,2
conscience,2
teacher,2
destiny,3
murder,2
assistance,3
escape,2
affection,2
ability,3
cake,3
football,3
brain,3
psalm,2
fountain,3
imagination,4
state,5
majority,6
tool,2
incentive,3
stranger,2
interaction,3
enemy,2
stick,2
leader,3
competence,3
bedroom,4
cottage,4
pest,2
subtraction,6
lake,5
jacket,2
volume,7
spirit,2
orchestra,4
improvement,3
darkness,3
chicken,2
mileage,6
steam,3
thought,2
criticism,2
reality,4
segment,5
robin,2
student,2
dozen,7
diet,3
rent,4
charity,3
security,2
helplessness,1
sadness,1
sole,2
apple,2
file,3
proof,2
island,5
reflex,2
intelligence,3
accomplishment,3
lettuce,2
physics,4
vocabulary,5
saloon,3
disagreement,2
revenge,2
protection,2
visitor,2
alphabet,4
brevity,5
synagogue,3
wolf,3
shrimp,4
duration,6
lamb,3
circuit,4
cup,3
conclusion,2
want,2
preference,2
grammar,2
reinforcement,3
idiom,2
forest,6
worry,1
branch,3
orchid,2
oven,3
effect,3
salary,5
atom,5
variety,5
beauty,2
assumption,2
republic,5
