word,rating
coffin,2
month,1
leader,1
duty,1
incident,1
pill,3
pawn,1
mosquito,1
orchid,5
parish,1
lettuce,6
wallet,2
example,1
payment,1
separation,1
ocean,5
perception,1
key,2
contempt,1
road,2
bell,1
competence,1
hog,4
principle,1
philosophy,1
regret,1
moonlight,1
butter,7
accident,1
bandit,1
guilt,1
specimen,2
flask,2
subtraction,1
zoo,5
nerve,1
adventurer,1
fantasy,1
object,1
contract,1
art,1
personality,1
grandmother,3
behavior,1
helmet,2
midnight,1
helplessness,1
fountain,2
loan,1
permission,1
worry,1
mountain,3
calculation,1
laughter,1
play,1
inn,2
costume,1
heart,2
theory,1
visitor,1
idea,1
announcement,1
income,1
arrow,1
irrigation,2
abundance,1
wage,1
uncertainty,1
horse,4
cat,3
guide,1
distribution,1
drum,1
fate,1
tongue,4
moment,1
opportunity,1
itch,1
difference,1
cause,1
leopard,2
infection,3
territory,1
dimension,1
fog,3
fireplace,5
time,1
teacher,1
occasion,1
occupation,1
core,2
silence,1
vocabulary,1
ankle,1
riot,2
skull,1
bed,2
variety,1
file,1
consideration,1
rainbow,1
measure,1
sugar,7
envy,1
baby,4
linen,3
enemy,1
three,1
mile,1
opinion,1
food,7
impairment,1
beauty,1
performance,1
ambulance,2
punishment,1
starch,3
salary,1
selection,1
significance,1
corpse,6
metaphor,1
cup,2
job,1
response,1
description,1
tradition,1
rule,1
hurricane,2
assumption,1
economy,1
degree,1
appeal,1
lion,3
skunk,7
stranger,1
march,1
proof,1
member,1
eagle,1
suit,2
shape,1
disaster,1
clothing,2
uncle,1
produce,6
unit,1
importance,1
accomplishment,1
empty,1
awareness,1
capacity,1
neck,2
standard,1
ambition,1
propeller,1
cake,7
evidence,1
tennis,2
physics,1
honesty,1
odor,7
landscape,2
lamp,1
circuit,2
injury,2
gorilla,3
master,1
university,1
pigeon,2
hospital,5
shirt,2
bank,1
camera,1
sanctuary,2
pest,2
comparison,1
kindness,1
category,1
recognition,1
obstruction,1
rocket,2
ball,1
circumstance,1
mold,6
writing,1
banana,7
idiom,1
marriage,1
cloth,2
pile,1
comprehension,1
branch,3
edge,1
incentive,1
expression,1
combination,1
jewel,1
rabbit,2
origin,1
requirement,1
mankind,1
microscope,1
view,1
professor,1
typewriter,2
ceiling,1
purpose,1
ditch,3
wave,3
policeman,1
season,2
guess,1
summer,3
margin,1
complication,1
establishment,1
betrayal,1
towel,2
math,1
hat,2
fabric,2
name,1
refrigerator,3
segment,1
conference,1
tendency,1
specialist,1
drama,1
boulder,1
property,1
division,1
site,1
fallacy,1
meeting,1
coupon,1
television,1
mastery,1
identification,1
promotion,1
moral,1
correspondent,1
individual,1
brawl,2
soul,1
retention,1
dagger,2
instance,1
impossibility,1
lightning,4
pig,5
quality,1
corn,6
bullet,3
truth,1
state,1
assault,1
entrance,1
amount,1
friendship,1
macaroni,6
topic,1
border,1
clearance,1
determination,1
route,1
puddle,3
thing,1
arc,1
sky,1
tree,4
student,1
tip,1
presence,1
self,1
autumn,4
love,1
peace,1
episode,1
conscience,1
sight,1
length,1
caterpillar,1
tool,2
body,3
latch,1
cow,4
spirit,1
roof,2
charter,1
reputation,1
lesson,1
fisherman,5
tallness,1
dozen,1
boredom,1
salad,7
magic,1
acre,2
palace,1
ring,1
stride,1
money,4
butterfly,1
equality,1
anger,1
pretense,1
justice,1
unity,1
engagement,1
industry,3
sister,1
calendar,1
attempt,1
mystery,1
criticism,1
phenomenon,1
beast,3
river,3
alley,4
chance,1
atrocity,1
laundry,5
uniform,2
translation,1
entree,7
riddle,1
father,2
outfit,1
blood,5
danger,1
fifteen,1
beverage,7
heap,2
liar,1
mind,1
pond,4
shortness,1
tune,1
boundary,1
thorn,1
mileage,1
vapor,3
toilet,6
sneeze,1
synagogue,2
rhyme,1
gesture,1
island,3
leadership,1
disgust,2
democracy,1
shrimp,7
woman,3
sword,2
majority,1
shock,1
ability,1
lane,1
responsibility,1
alligator,2
supply,1
child,2
crown,1
anxiety,1
intelligence,1
kitten,2
holiday,3
waste,6
mud,4
factory,4
opposition,1
winter,3
grammar,1
peacemaker,1
hatred,1
reduction,1
stupidity,1
belief,1
missile,2
instructor,1
assistance,1
jacket,2
park,3
genuine,1
law,1
republic,1
denial,1
puppy,4
story,1
consistency,1
acquisition,1
stapler,1
event,1
duel,1
claim,1
reality,1
hierarchy,1
victim,1
mustard,7
ceremony,1
character,1
skin,3
poll,1
nation,1
drug,4
spider,1
lily,6
bet,1
owner,1
manner,1
amplitude,1
cowardice,1
nose,5
darkness,1
ignition,3
inch,1
scholar,1
fat,5
empire,1
brother,1
beetle,1
reason,1
charity,1
bolt,1
definition,1
crime,1
flavor,7
pie,7
speech,1
lamb,6
miracle,1
decision,1
line,1
bird,1
opera,1
grief,1
bridge,1
despair,1
handkerchief,3
lobster,7
mother,3
limitation,1
traveler,1
underworld,1
disappointment,1
iron,4
fact,1
development,1
photograph,2
artist,2
explanation,1
freedom,1
preparation,1
raspberry,7
gender,1
want,1
lisp,1
loafer,2
intention,1
twig,2
photo,1
effort,1
tomato,7
record,2
bubble,2
future,1
instinct,1
necklace,1
hope,1
attitude,1
pimple,1
possibility,1
lock,1
music,1
window,1
sow,4
ignorance,1
regulation,1
knowledge,1
shame,1
apple,7
car,3
shark,2
lemon,7
steam,2
number,1
hotel,3
proportion,1
duration,1
diversity,1
safety,1
benefactor,1
band,1
dynasty,1
show,1
football,2
germ,1
reflex,1
brevity,1
heresy,1
weather,3
coffee,7
result,1
lens,1
atom,1
skill,1
method,1
desk,2
cottage,3
rebel,1
apology,1
witness,1
verse,1
boat,3
myth,1
wisdom,1
smell,7
jerk,1
eight,1
cranberry,7
medicine,6
diamond,1
corporation,1
emergence,1
church,4
disagreement,1
pool,5
snake,2
conclusion,1
robin,1
interruption,1
volume,1
introduction,1
dove,1
risk,1
affection,1
alphabet,1
construction,3
irony,1
duck,4
cliff,2
