word,rating
suit,3
performance,4
cognition,2
hat,3
disappointment,3
city,3
independence,2
hotel,3
guilt,3
bubble,6
marriage,3
neighborhood,3
adversity,2
crown,3
fisherman,3
peach,4
lion,5
vapor,5
fantasy,3
advice,2
metaphor,2
blade,4
arc,3
lamp,4
square,3
accident,3
attitude,2
material,3
outcome,2
error,2
puddle,5
comparison,2
regulation,2
cowardice,2
engagement,3
site,2
professor,2
mosquito,5
mold,4
irony,3
contempt,2
purpose,2
knife,4
opportunity,2
curfew,3
despair,3
anxiety,3
cloth,4
truck,5
stride,4
three,3
mind,2
sword,4
spider,5
baby,4
inn,3
bullet,5
trumpet,7
costume,3
leopard,5
diversity,2
river,5
duty,2
math,2
bell,6
ceiling,3
blood,4
landscape,3
photograph,3
consideration,2
chief,2
witness,2
insight,2
fear,3
bird,5
butter,5
equality,2
perception,2
availability,2
weather,4
hierarchy,2
toilet,3
principle,2
propeller,5
future,2
riddle,3
promotion,2
annoyance,3
advantage,2
spelling,3
key,3
typewriter,4
sight,3
occasion,3
gun,5
odor,5
ambulance,5
past,2
lane,3
decision,2
volt,5
band,5
ocean,5
sedative,3
rabbit,5
opposition,2
clean,3
boy,3
riot,5
nerve,3
confidence,2
frustration,3
specialist,2
recognition,2
kitten,5
pawn,3
selection,2
mile,3
genuine,2
beetle,5
job,2
towel,4
issue,2
dynasty,2
sandal,3
establishment,2
dagger,4
neck,3
stapler,3
fight,4
lightning,6
lunch,4
second,3
child,3
exclusion,2
description,2
art,2
suggestion,2
development,2
magnitude,2
institute,2
sow,4
alley,3
time,2
honesty,2
produce,3
arrangement,2
bag,3
intention,2
group,2
body,3
rebel,3
midnight,3
drama,3
distraction,2
bracelet,3
proportion,2
horse,5
crime,3
core,2
personality,2
park,3
disaster,3
cocktail,4
suspect,2
philosophy,2
literature,2
limitation,2
magic,3
conscience,2
teacher,2
destiny,2
murder,4
assistance,2
escape,3
affection,2
ability,2
cake,4
football,4
brain,2
psalm,2
fountain,5
imagination,2
state,2
majority,2
tool,2
incentive,2
stranger,2
interaction,2
enemy,2
stick,4
leader,2
competence,2
bedroom,3
cottage,3
pest,4
subtraction,2
lake,5
jacket,3
volume,3
spirit,3
orchestra,6
improvement,2
darkness,3
chicken,5
mileage,3
steam,5
thought,2
criticism,2
reality,2
segment,2
robin,5
student,2
dozen,3
diet,2
rent,3
charity,2
security,2
helplessness,2
sadness,3
sole,2
apple,4
file,2
proof,2
island,3
reflex,2
intelligence,2
accomplishment,2
lettuce,4
physics,2
vocabulary,2
saloon,3
disagreement,2
revenge,2
protection,2
visitor,2
alphabet,2
brevity,2
synagogue,2
wolf,5
shrimp,5
duration,2
lamb,5
circuit,3
cup,3
conclusion,2
want,2
preference,2
grammar,2
reinforcement,2
idiom,2
forest,3
worry,3
branch,4
orchid,4
oven,4
effect,2
salary,2
atom,2
variety,2
beauty,2
assumption,2
republic,2
object,2
belief,2
combination,2
guide,2
factory,3
real,2
effort,2
chocolate,4
flavor,4
composer,2
cucumber,4
hobby,2
empire,2
topic,2
pool,3
ally,2
mercy,2
scent,5
beaver,5
theory,2
drum,6
opinion,2
border,3
nose,3
safety,2
appeal,2
correspondent,2
number,2
tree,4
traveler,2
television,3
refrigerator,3
disgust,3
crisis,3
cause,2
lobster,5
shark,5
temperature,3
satisfaction,2
ditch,3
shame,3
flask,3
supply,2
menu,3
calculation,2
outfit,3
deputy,2
miracle,2
increase,2
lemon,4
attention,2
month,2
rule,2
snow,5
coupon,2
tension,3
phenomenon,2
truth,2
station,3
diamond,3
property,2
aspect,2
kite,5
construction,2
distribution,2
photo,3
paradigm,2
reduction,2
myth,2
punishment,2
brute,4
industry,2
necessity,2
faith,2
loan,2
income,2
summer,3
bed,3
ignorance,2
bolt,4
helmet,3
ceremony,2
paragraph,2
music,6
reason,2
heap,3
addition,2
adventurer,2
hazard,3
justification,2
rhyme,5
betrayal,2
chipmunk,5
sky,3
hurt,3
animal,5
corn,4
mud,4
candy,4
street,3
desk,2
