word,rating
admiration,5
robbery,2
peach,6
property,3
liar,2
figure,4
pie,5
lily,6
marriage,4
banana,7
tongue,3
steam,4
form,3
visitor,2
impossibility,1
situation,3
interaction,3
hog,2
vapor,4
acquisition,2
brawl,2
establishment,3
instructor,3
bird,5
opera,4
logic,2
fate,4
grammar,2
laughter,5
ignition,3
location,3
magnitude,2
soul,5
empty,2
rabbit,5
stimulus,2
rule,3
advice,3
queen,5
girl,4
decision,3
safety,3
hatred,2
confidence,4
boy,4
rent,2
crisis,2
extent,2
orchid,6
stranger,2
lock,2
betrayal,1
photo,5
macaroni,5
majority,3
electricity,4
fat,3
inn,2
road,3
capacity,2
view,4
personality,3
dove,6
brute,1
ambulance,2
pig,2
boundary,2
idea,4
baby,5
weather,4
vocabulary,2
flavor,5
toilet,2
show,3
murder,1
teacher,3
genuine,4
rainbow,7
foundation,3
fifteen,2
pond,5
acre,2
intention,3
skull,2
assistance,3
adversity,1
evidence,2
bag,2
square,4
menu,3
individual,3
punishment,1
reality,3
production,3
witness,2
dimension,3
advantage,3
hierarchy,2
crocodile,4
volume,4
degree,3
damage,1
rhyme,5
idiom,4
bottle,3
fisherman,4
mustard,6
behavior,2
body,3
faith,5
winter,5
purpose,4
determination,4
cloth,4
meeting,3
dagger,1
frustration,2
fog,5
philosophy,3
standard,3
eyeball,4
annoyance,2
democracy,3
cranberry,6
sword,1
loan,2
chicken,5
tide,5
law,2
cup,4
sofa,5
originality,4
weight,3
roof,3
candidate,2
job,2
subtraction,1
robin,5
necklace,5
ballot,2
memory,4
station,3
chair,5
refrigerator,5
result,3
thief,1
pimple,2
skunk,2
reputation,2
accident,2
method,3
parish,2
eight,2
justification,2
animal,5
sole,4
play,5
tendency,3
chipmunk,5
shirt,5
reinforcement,2
corporation,2
pawn,1
volt,4
money,3
cognition,3
talent,4
alligator,4
republic,2
orchestra,5
dad,4
door,4
beverage,5
suit,4
grief,1
misery,1
margin,3
response,3
site,3
ball,5
car,5
mile,4
season,5
disagreement,2
ability,3
tradition,3
speech,3
recital,4
requirement,2
theory,3
opinion,3
sadness,1
security,3
month,2
lake,5
band,5
stick,4
retention,2
revenge,1
atom,4
permission,2
frog,5
sneeze,2
ownership,3
trust,4
reduction,2
cow,5
character,3
accomplishment,4
policeman,2
increase,3
sandal,5
independence,4
window,5
wood,6
duel,1
christmas,7
bridge,5
deduction,2
territory,3
comprehension,2
equality,3
irrigation,2
bolt,4
moment,4
beast,5
bell,5
division,2
information,2
palace,6
crime,1
chlorine,4
river,5
paradigm,3
separation,2
state,2
cake,6
potato,6
lemon,7
mercy,4
suggestion,2
writing,2
bedroom,5
literature,3
heap,2
city,4
