word,rating
scholar,2
deputy,3
produce,1
woman,5
scent,1
ambulance,2
doctor,4
obstruction,1
three,1
flavor,1
volcano,1
cow,1
ankle,1
clearance,2
nerve,2
helmet,2
chief,4
cake,1
manner,3
pill,2
robbery,2
marriage,7
spirit,3
speech,5
scene,2
math,1
freedom,6
atom,1
kindness,6
cat,1
ballot,4
abundance,2
incentive,3
guess,1
effort,5
pond,1
impairment,2
grass,1
belief,5
door,1
conclusion,2
photograph,2
photo,2
explanation,3
chocolate,1
candy,1
sword,1
presence,4
admiration,6
lobster,1
jerk,2
knife,1
crime,3
betrayal,5
microscope,1
bracelet,2
emergence,2
mansion,2
escape,3
heresy,2
stimulus,1
deduction,2
reduction,1
pig,1
sugar,1
lamb,1
loan,3
frog,1
lane,1
gorilla,1
flask,1
music,2
willingness,5
hurt,3
combination,2
lightning,1
foundation,3
confidence,6
contempt,4
contract,4
skin,1
magic,2
conscience,5
evidence,3
response,3
addition,1
ceiling,1
brawl,2
pimple,1
temple,2
saloon,1
integrity,6
suit,2
industry,3
fountain,1
occasion,2
file,1
comparison,2
border,2
sandal,1
future,5
money,4
accomplishment,6
composer,3
correspondent,3
month,1
pie,1
conference,3
burner,1
fog,1
disappointment,4
forest,1
linen,1
student,4
kitten,1
thorn,1
zoo,1
enemy,3
hurricane,1
route,2
fabric,1
boredom,2
ignorance,3
sow,1
character,4
cranberry,1
cup,1
episode,2
assistance,5
duration,2
squeak,1
paradigm,2
circuit,1
disagreement,4
hazard,2
arc,1
toilet,1
bottle,1
tool,1
snow,1
permission,5
awareness,5
heart,6
poetry,4
importance,5
pool,2
stick,1
beauty,4
subtraction,1
translation,3
pile,1
performance,4
hospital,4
criticism,4
apology,5
park,2
medicine,4
mile,1
inn,1
grandmother,6
circumstance,3
trust,7
engagement,6
location,2
lettuce,1
tradition,5
cloth,1
alphabet,2
diamond,2
moment,4
child,6
arrangement,3
island,2
variety,2
information,3
latch,1
chicken,1
artist,4
beaver,1
refrigerator,1
destiny,5
tip,2
grammar,2
hotel,2
brevity,3
shortness,2
capacity,3
worry,4
owner,3
view,3
denial,4
issue,3
personality,5
boy,4
entrance,2
orchid,1
radio,2
hatred,4
opera,2
steam,1
phenomenon,2
lizard,1
visitor,3
ambition,5
mankind,6
brother,7
crocodile,1
error,2
miracle,4
bell,1
germ,1
property,2
bet,2
hog,1
bed,1
deceit,3
member,5
intention,4
hope,6
specialist,2
attitude,4
poll,2
salary,3
fireplace,1
rocket,1
past,3
misery,2
thought,5
entree,1
want,4
skull,1
margin,1
ceremony,5
extent,2
potato,1
reputation,5
determination,6
increase,2
independence,6
genuine,4
story,5
rule,3
eyeball,1
landscape,1
factory,1
injury,2
dad,7
advantage,3
electricity,1
bedroom,1
gesture,4
bridge,2
fact,3
unity,6
lisp,1
coupon,1
stranger,3
dove,5
material,1
prop,1
event,4
result,3
handkerchief,1
institute,2
announcement,3
assault,2
helplessness,2
robin,4
grasshopper,1
justification,4
thing,1
duel,2
adventurer,3
mosquito,1
revenge,3
elephant,1
segment,1
suspect,2
degree,2
anxiety,4
record,3
reflex,1
dilemma,5
replacement,2
tree,1
clean,1
lock,1
stride,2
wish,4
apple,1
reality,5
self,6
consequence,3
form,2
laughter,4
opponent,3
lily,1
lunch,1
sedative,1
menu,1
benefactor,5
duty,6
drama,4
equality,6
trumpet,1
art,5
alligator,1
lake,1
idiom,2
vocabulary,3
instance,3
cucumber,1
chance,4
nose,1
charter,2
branch,1
interruption,2
logic,3
comprehension,4
boundary,2
camera,1
tomato,1
volt,1
nation,5
volume,2
waste,1
key,2
significance,4
hat,1
figure,3
football,2
fear,4
separation,5
measure,2
puddle,1
sight,3
philosophy,5
irony,3
charity,6
advice,5
beast,1
moonlight,2
appeal,4
instructor,3
paragraph,2
economy,4
traveler,4
disaster,2
butter,1
law,5
convergence,2
state,4
instinct,5
season,2
vapor,1
diversity,5
definition,3
lesson,4
spider,1
impossibility,3
window,1
cliff,1
mountain,1
disgust,2
onion,1
republic,5
chipmunk,1
pest,1
safety,4
skunk,1
shame,3
beetle,1
possibility,5
crown,2
retention,2
immortality,4
proportion,2
raspberry,1
beverage,1
metaphor,5
effect,3
weight,2
physics,3
curfew,2
teacher,6
salad,1
bullet,1
lemon,1
second,2
fisherman,2
uncertainty,4
shock,3
leadership,6
winter,1
ring,1
food,1
payment,2
recital,2
bag,1
sadness,4
behavior,2
lip,1
guilt,5
incident,2
annoyance,2
wood,1
mastery,3
victim,6
autumn,1
gender,4
leader,6
peacemaker,7
ownership,3
distance,2
cowardice,5
ally,7
jewel,1
truck,1
intelligence,4
palace,1
job,3
situation,2
summer,1
mileage,1
shrimp,1
parish,2
perception,4
ditch,1
fantasy,2
uncle,6
regret,5
bank,2
midnight,1
policeman,5
calculation,2
outfit,1
witness,5
verse,2
dentist,2
satisfaction,3
preference,3
originality,3
resort,1
fat,1
attention,4
writing,2
legality,2
size,1
smell,1
thief,5
heap,1
dagger,2
underworld,2
fifteen,1
mold,1
frustration,4
shirt,1
brain,3
expression,3
edge,1
ignition,1
name,2
darkness,1
message,3
square,1
site,2
snake,2
consideration,4
occupation,3
claim,3
pretense,3
silence,2
mystery,2
wallet,1
corn,1
caterpillar,1
calendar,1
opposition,4
chlorine,1
candidate,4
road,1
method,3
leopard,2
shark,2
neighborhood,5
cognition,4
promotion,4
holiday,1
necklace,1
tendency,4
lion,2
car,1
bandit,5
oven,1
atrocity,6
pyramid,1
interaction,7
talent,4
master,5
eight,1
clothing,1
duck,1
donor,5
protection,6
guide,6
peach,1
description,2
bubble,1
production,3
risk,4
university,3
tide,1
limitation,3
amplitude,2
principle,4
magnitude,3
bird,1
value,4
consistency,4
corpse,5
show,2
irrigation,1
jacket,1
church,4
truth,5
girl,5
wage,3
uniform,2
tragedy,6
selection,3
lamp,1
literature,2
development,4
temperature,1
drug,3
memory,4
riot,5
difference,3
knowledge,5
identification,3
affection,6
chair,1
boulder,1
typewriter,1
eagle,2
availability,3
acre,1
roof,1
competence,5
context,4
ocean,1
rent,2
twig,1
alley,1
exception,3
regulation,3
kite,1
fallacy,3
drum,1
group,5
outcome,4
baby,6
sole,2
distribution,3
responsibility,7
play,2
meeting,5
dynasty,2
prediction,4
preparation,4
debt,3
empty,1
professor,4
empire,2
relief,5
shape,1
youth,5
reinforcement,5
construction,3
security,6
blood,4
odor,1
towel,1
punishment,5
insight,5
arrow,2
tax,4
mother,7
appointment,3
diet,2
ball,1
tension,4
acquisition,4
identity,6
missile,5
individual,5
inch,1
territory,5
loafer,3
hobby,2
despair,2
cocktail,1
boat,1
sofa,1
decision,5
hierarchy,4
ability,3
river,1
wisdom,5
sanctuary,2
gun,1
recognition,4
item,1
banana,1
newspaper,1
lens,1
propeller,1
origin,3
mustard,1
malice,2
city,1
fate,5
grief,4
rebel,2
specimen,1
vision,5
myth,3
synagogue,2
nurse,2
accumulation,1
soul,6
peace,6
itch,1
democracy,7
animal,1
desk,1
purpose,6
tennis,1
tune,1
liar,2
coffin,1
mud,1
damage,2
division,2
accident,2
pawn,1
costume,1
weather,1
wave,1
street,1
bolt,1
fight,3
honesty,6
tongue,1
love,7
stupidity,2
spelling,1
psalm,4
line,1
corporation,2
body,3
blade,1
idea,6
pillow,1
theory,5
improvement,5
example,4
band,1
stapler,1
television,1
danger,3
cause,4
butterfly,1
coffee,1
aspect,3
topic,2
exclusion,3
opportunity,6
envy,3
