word,rating
truth,3
legality,2
drug,6
stranger,2
band,3
hotel,2
material,3
lesson,2
victim,3
extent,2
burner,3
suggestion,4
dagger,4
site,2
consequence,4
thing,2
degree,3
unity,3
duty,3
combination,4
guess,3
tool,4
incentive,4
anger,4
manner,3
satisfaction,5
supply,4
bag,1
paragraph,2
neighborhood,3
trust,4
philosophy,2
route,2
father,3
wolf,4
vocabulary,2
incident,3
teacher,3
contract,3
factory,3
rabbit,3
reality,4
territory,3
chief,3
salary,4
outcome,4
past,3
assumption,3
institute,2
chicken,3
street,2
willingness,4
reinforcement,4
crocodile,3
diet,4
bet,3
entree,5
fog,3
rule,3
example,4
moment,3
uncle,3
deputy,2
cow,2
result,4
coincidence,3
thorn,3
fat,2
occasion,3
mile,2
advantage,4
rent,3
time,3
spirit,3
corporation,2
helmet,2
composer,3
distance,2
engagement,3
duel,3
gender,2
individual,3
specialist,3
mankind,3
sky,2
gesture,3
cliff,2
line,2
tree,3
promotion,4
donor,3
acquisition,3
leader,4
replacement,3
flask,2
obstruction,3
pest,2
confidence,4
episode,3
show,3
hurricane,3
eight,1
calendar,2
bank,2
meeting,3
necklace,2
opposition,3
miracle,3
peach,4
christmas,3
vision,3
tension,3
odor,7
inch,1
perception,5
appointment,3
cocktail,6
blade,3
truck,2
peacemaker,4
marriage,3
chair,1
cranberry,4
payment,4
belief,3
microscope,2
significance,4
speech,3
cause,3
loan,3
entrance,2
lock,2
tennis,2
bed,1
retention,3
skunk,4
silence,2
coffee,5
scholar,3
holiday,3
paradigm,2
river,2
limitation,3
volt,1
description,3
bird,2
diversity,3
salad,5
trumpet,2
child,2
march,2
stride,2
apology,4
boulder,2
fallacy,2
shortness,2
knowledge,4
kite,2
diamond,3
starch,2
hat,1
pimple,2
advice,3
costume,2
mileage,2
exception,3
mud,1
skin,2
brevity,2
blood,2
record,3
puppy,3
heap,1
lobster,5
robbery,3
spelling,2
stapler,1
fabric,2
vapor,2
poll,1
road,2
handkerchief,2
stick,1
hospital,2
job,2
grammar,2
radio,2
irrigation,2
genuine,3
location,2
personality,3
waste,2
darkness,2
island,2
guilt,3
pie,4
difference,3
mastery,4
bullet,2
insight,4
metaphor,3
lunch,4
faith,3
midnight,2
typewriter,2
bolt,2
wood,2
disappointment,3
ignition,2
quality,3
conclusion,3
ballot,2
bracelet,2
propeller,2
hierarchy,2
escape,3
definition,3
