word,rating
ability,4
abundance,5
accident,4
accomplishment,6
accumulation,3
acquisition,4
acre,2
addition,3
admiration,6
advantage,5
adventurer,4
adversity,6
advice,4
affection,7
alley,3
alligator,2
ally,5
alphabet,2
ambition,6
ambulance,4
amount,3
amplitude,2
anger,7
animal,5
ankle,2
announcement,3
annoyance,6
anxiety,7
apology,6
appeal,6
apple,3
appointment,3
arc,2
arrangement,4
arrow,3
art,6
article,3
artist,6
aspect,3
assault,6
assistance,6
assumption,4
atom,2
atrocity,7
attempt,5
attention,5
attitude,5
autumn,4
availability,3
awareness,5
baby,6
bag,2
ball,3
ballot,3
banana,3
band,4
bandit,6
bank,3
beast,5
beauty,6
beaver,2
bed,2
bedroom,3
beetle,2
behavior,4
belief,5
bell,2
benefactor,5
bet,3
betrayal,7
beverage,2
bird,4
blade,3
blood,5
boat,3
body,4
bolt,2
border,3
boredom,6
bottle,2
boulder,2
boundary,3
boy,4
bracelet,3
brain,5
branch,3
brawl,6
brevity,3
bridge,4
brother,5
brute,5
bubble,3
bullet,5
burner,2
butter,2
butterfly,4
cake,3
calculation,3
calendar,3
camera,3
candidate,4
candy,3
capacity,3
car,3
cat,3
category,3
caterpillar,2
cause,4
ceiling,2
ceremony,5
chair,2
chance,4
character,6
charity,6
charter,3
chicken,3
chief,4
child,6
chipmunk,2
chlorine,2
chocolate,4
christmas,6
church,5
circuit,2
circumstance,4
city,4
claim,4
clean,2
clearance,2
cliff,3
cloth,2
clothing,3
cocktail,3
coffee,3
coffin,5
cognition,5
coincidence,4
combination,3
comparison,4
competence,5
complication,5
composer,5
comprehension,5
conclusion,5
conference,4
confidence,6
conscience,6
consequence,6
consideration,5
consistency,4
construction,4
contempt,6
context,4
contract,4
convergence,3
core,3
corn,2
corporation,3
corpse,5
correspondent,4
costume,4
cottage,3
coupon,2
cow,2
cowardice,7
cranberry,3
crime,6
crisis,7
criticism,6
crocodile,4
crown,5
cucumber,3
cup,2
curfew,4
dad,5
dagger,5
damage,6
danger,6
darkness,5
debt,5
deceit,7
decision,5
deduction,4
definition,4
degree,3
democracy,5
denial,6
dentist,3
deputy,3
description,4
design,4
desk,2
despair,7
destiny,5
determination,6
development,5
diamond,4
diet,3
difference,4
dilemma,6
dimension,3
disagreement,6
disappointment,6
disaster,7
disgust,7
distance,4
distraction,5
distribution,4
ditch,3
diversity,5
division,4
doctor,5
donor,5
door,2
dove,4
dozen,2
drama,5
drug,4
drum,3
duck,3
duel,6
duration,3
duty,5
dynasty,4
eagle,4
economy,4
edge,3
effect,4
effort,5
eight,2
electricity,3
elephant,4
emergence,4
empire,4
empty,3
enemy,6
engagement,5
entrance,3
entree,3
envy,7
episode,4
equality,5
error,5
escape,5
establishment,4
event,4
evidence,5
example,4
exception,4
exclusion,5
explanation,5
expression,5
extent,3
eyeball,2
fabric,2
fact,4
factory,3
faith,5
fallacy,5
fantasy,5
fat,2
fate,5
father,5
fear,7
fifteen,2
fight,6
figure,4
file,2
fireplace,3
fisherman,4
flask,2
flavor,4
fog,3
food,4
football,4
forest,4
form,3
foundation,4
fountain,3
freedom,6
friendship,7
frog,3
frustration,6
future,5
gender,4
genuine,5
germ,3
gesture,4
girl,4
gorilla,3
grammar,3
grandmother,5
grass,3
grasshopper,2
grief,7
group,4
guess,3
guide,4
guilt,7
gun,6
handkerchief,3
hat,2
hatred,7
hazard,6
heap,3
heart,6
helmet,3
helplessness,7
heresy,6
hierarchy,4
hobby,4
hog,2
holiday,6
honesty,6
hope,6
horse,4
hospital,5
hotel,3
hurricane,6
hurt,6
idea,4
identification,4
identity,5
idiom,4
ignition,3
ignorance,6
imagination,6
immortality,5
impairment,6
importance,6
impossibility,6
improvement,5
incentive,4
inch,2
incident,4
income,4
increase,4
independence,6
individual,4
industry,4
infection,6
information,5
injury,6
inn,3
insight,5
instance,4
instinct,5
institute,4
instructor,4
integrity,6
intelligence,6
intention,5
interaction,4
interior,3
interruption,5
introduction,4
iron,2
irony,5
irrigation,3
island,4
issue,4
itch,3
item,3
jacket,3
jerk,5
jewel,4
job,3
justice,6
justification,5
key,2
kindness,7
kite,3
kitten,4
knife,4
knowledge,6
lake,3
lamb,3
lamp,2
landscape,4
lane,2
latch,2
laughter,6
laundry,2
law,4
leader,4
leadership,6
legality,4
lemon,3
length,3
lens,3
leopard,4
lesson,4
lettuce,3
liar,6
lightning,4
lily,3
limitation,5
line,2
linen,2
lion,4
lip,2
lisp,3
literature,5
lizard,3
loafer,3
loan,3
lobster,4
location,3
lock,2
logic,5
love,7
lunch,3
macaroni,3
magic,5
magnitude,4
majority,4
malice,7
mankind,4
manner,3
mansion,4
march,3
margin,3
marriage,5
master,4
mastery,6
material,4
math,4
mattress,3
measure,3
medicine,5
meeting,4
member,4
memory,5
menu,3
mercy,6
message,4
metaphor,5
method,4
microscope,4
midnight,3
mile,3
mileage,3
mind,5
miracle,6
misery,7
missile,6
mold,3
moment,3
money,4
month,3
moonlight,4
moral,5
mosquito,3
mother,5
mountain,4
mud,3
murder,7
music,5
mustard,3
mystery,6
myth,5
name,3
nation,4
necessity,4
neck,2
necklace,3
neighborhood,4
nerve,4
newspaper,4
nose,2
number,3
nurse,5
object,3
obstruction,5
occasion,4
occupation,4
ocean,4
odor,3
onion,3
opera,4
opinion,4
opponent,4
opportunity,6
opposition,4
orchestra,5
orchid,4
origin,4
originality,5
outcome,4
outfit,3
oven,2
owner,3
ownership,4
palace,4
paradigm,4
paragraph,3
parish,3
park,3
past,3
pawn,3
payment,3
peace,6
peacemaker,6
peach,3
perception,5
performance,4
permission,5
personality,5
pest,4
phenomenon,5
philosophy,5
photo,3
photograph,3
physics,4
pie,3
pig,3
pigeon,3
pile,3
pill,3
pillow,3
pimple,3
play,4
poetry,6
policeman,4
poll,3
pond,3
pool,3
possibility,5
potato,3
prediction,4
preference,4
preparation,4
presence,4
pretense,5
principle,5
produce,4
production,4
professor,5
promotion,4
proof,4
prop,3
propeller,3
property,4
proportion,4
protection,5
psalm,4
puddle,3
punishment,6
puppy,5
purpose,5
pyramid,4
quality,5
queen,4
rabbit,3
radio,3
rainbow,5
raspberry,3
real,4
reality,5
reason,5
rebel,6
recital,3
recognition,5
record,3
reduction,2
reflex,3
refrigerator,1
regret,7
regulation,2
reinforcement,5
relief,6
rent,2
replacement,2
republic,3
reputation,4
requirement,4
resort,4
response,4
responsibility,5
result,3
retention,2
revenge,7
rhyme,2
riddle,3
ring,3
riot,5
risk,5
river,3
road,2
robbery,6
robin,3
rocket,1
roof,2
route,2
rule,4
sadness,7
safety,7
salad,2
salary,2
saloon,3
sanctuary,4
sandal,2
satisfaction,7
scene,4
scent,3
scholar,4
season,3
second,2
