word,rating
corporation,2
deputy,1
brawl,1
church,2
uncle,1
moral,1
faith,2
mountain,1
shirt,1
duel,1
hospital,2
lip,5
love,3
material,1
ambulance,2
enemy,1
event,1
honesty,1
tennis,2
missile,1
origin,1
waste,1
route,1
university,2
limitation,1
poetry,2
artist,2
instructor,1
salary,1
arrangement,1
personality,1
opposition,1
pretense,1
rent,1
possibility,1
ignition,2
circumstance,1
justification,1
gesture,2
lobster,6
insight,1
selection,1
accumulation,1
student,1
topic,1
philosophy,1
gorilla,5
myth,2
misery,1
truth,1
member,1
purpose,1
temperature,4
station,1
marriage,3
outcome,1
cliff,1
puddle,5
lens,2
skin,5
complication,1
peace,1
mustard,6
beverage,6
beaver,4
consistency,1
television,2
logic,1
chief,1
brain,3
cocktail,6
danger,1
pest,2
truck,1
mercy,1
metaphor,2
intelligence,1
damage,1
explanation,1
banana,7
beast,3
oven,5
body,2
holiday,2
theory,1
rocket,2
addition,1
integrity,1
pawn,2
form,1
supply,1
attention,1
hope,1
circuit,2
annoyance,1
memory,1
stimulus,1
proof,1
empty,1
rainbow,5
charter,1
mystery,2
desk,1
music,2
hat,1
length,1
stupidity,1
donor,1
thorn,5
cottage,2
mud,5
crocodile,4
atrocity,1
teacher,1
group,1
establishment,1
zoo,2
meeting,1
site,1
horse,3
interruption,1
dentist,2
originality,1
orchestra,2
christmas,3
ceiling,1
denial,1
want,1
expression,1
shock,1
idiom,1
toilet,5
animal,2
typewriter,3
legality,1
fountain,4
subtraction,1
victim,1
unit,1
requirement,1
car,1
security,1
preparation,1
season,2
sword,3
brevity,1
future,1
menu,5
helplessness,1
woman,1
rhyme,2
cow,4
duration,1
ballot,1
cat,4
hierarchy,1
incident,1
capacity,1
blade,3
grass,5
miracle,2
autumn,3
introduction,1
chlorine,6
jerk,2
outfit,2
frog,4
attempt,1
assault,1
ceremony,2
leader,1
fisherman,3
willingness,1
grammar,1
talent,1
criticism,1
appointment,1
river,3
clearance,1
ditch,4
phenomenon,1
island,2
permission,1
flask,5
tax,1
loafer,2
calculation,1
identity,1
starch,6
fat,6
ankle,4
development,1
tool,1
ownership,1
abundance,1
visitor,1
doctor,2
laundry,5
importance,1
inch,4
cranberry,6
arc,2
girl,3
chair,2
destiny,1
magic,4
square,2
saloon,3
jewel,2
eight,1
cake,7
lily,5
second,1
wave,4
ignorance,1
laughter,3
engagement,2
boat,3
debt,1
impossibility,1
conference,1
speech,2
blood,5
opponent,1
caterpillar,2
revenge,1
wood,4
grasshopper,3
definition,1
mattress,3
ocean,5
leadership,1
bell,4
grief,2
result,1
tendency,1
combination,1
measure,1
policeman,2
anxiety,2
shape,2
sneeze,5
raspberry,6
dagger,2
linen,3
factory,1
irrigation,2
volt,1
comparison,1
paradigm,1
odor,7
lock,2
dilemma,1
lightning,4
bet,2
acquisition,1
rabbit,3
potato,6
summer,5
ring,3
skill,1
construction,1
determination,1
volcano,5
episode,1
key,4
skull,3
stapler,2
witness,1
appeal,2
vocabulary,1
protection,1
reality,1
cloth,3
money,1
friendship,1
context,1
crime,1
writing,1
frustration,2
hog,3
window,2
mankind,1
suggestion,1
reflex,2
cowardice,1
behavior,1
scholar,1
wisdom,1
separation,1
disgust,2
leopard,3
pyramid,2
punishment,1
view,1
despair,1
football,4
hatred,1
segment,1
bank,2
professor,1
queen,3
robin,3
entrance,2
silence,2
alley,2
palace,3
lamp,3
recital,2
loan,1
chicken,6
vapor,4
fallacy,1
physics,1
hazard,1
dynasty,1
uncertainty,1
chance,1
snake,3
salad,7
design,2
bullet,4
snow,5
nose,6
clothing,3
guide,2
rule,1
stranger,2
fantasy,2
instance,1
exclusion,1
street,2
forest,4
occupation,1
neighborhood,2
scent,7
thought,1
refrigerator,5
hurricane,5
responsibility,1
intention,1
benefactor,1
shrimp,6
stick,3
burner,2
peacemaker,1
cause,1
bed,4
corn,6
economy,1
deduction,1
fact,1
equality,1
line,2
sight,3
tragedy,1
specimen,1
majority,1
bracelet,5
identification,1
three,1
bedroom,4
distraction,2
germ,3
medicine,4
value,1
cognition,1
volume,2
skunk,5
coincidence,1
nation,1
division,1
peach,6
shame,2
month,1
adversity,1
character,1
play,3
clean,2
coffin,3
alligator,4
jacket,4
atom,1
information,1
satisfaction,2
produce,5
youth,2
spelling,1
translation,1
pimple,3
difference,1
sadness,1
consequence,1
conscience,1
pie,7
ball,4
squeak,5
dozen,2
affection,2
contract,2
duty,2
door,1
paragraph,1
diamond,3
instinct,2
mile,1
democracy,2
safety,2
freedom,2
fog,4
curfew,2
past,1
onion,7
corpse,3
mastery,2
law,2
evidence,2
dimension,2
adventurer,2
moonlight,4
alphabet,1
sow,3
category,1
interaction,2
uniform,2
city,1
butterfly,5
error,1
sole,3
pig,4
lisp,2
knowledge,1
hobby,2
fear,2
competence,1
situation,1
coupon,1
opportunity,2
boundary,2
specialist,1
nerve,3
shortness,1
eagle,5
kite,5
boy,1
principle,1
drum,4
aspect,1
mind,2
trumpet,5
scene,1
heart,3
robbery,2
flavor,7
convergence,1
butter,7
tip,2
presence,1
spirit,3
drug,4
envy,2
math,1
candy,7
wish,2
retention,1
arrow,5
mileage,1
sanctuary,2
interior,1
obstruction,1
midnight,4
extent,1
vision,3
cucumber,7
fifteen,1
reason,1
object,1
assumption,1
beetle,5
edge,2
latch,2
ambition,2
temple,3
duck,5
incentive,2
band,4
brute,3
tune,5
weather,1
coffee,7
pile,1
magnitude,1
mansion,2
bag,1
brother,1
twig,4
item,1
pond,5
fate,2
tongue,6
winter,3
variety,1
distance,1
regulation,1
moment,1
macaroni,7
example,1
crown,4
underworld,2
march,2
eyeball,5
regret,2
reinforcement,1
amplitude,1
story,1
lettuce,7
conclusion,1
betrayal,2
iron,3
idea,1
industry,1
replacement,1
fight,2
nurse,2
spider,5
relief,2
psalm,2
belief,2
payment,1
name,1
bird,5
property,1
prop,2
inn,3
neck,4
decision,1
pigeon,5
kindness,2
republic,2
perception,1
degree,1
advantage,1
tree,5
availability,1
heap,2
tide,4
heresy,2
father,1
diversity,1
weight,3
reduction,1
dad,1
riddle,5
tradition,1
towel,4
margin,2
independence,2
synagogue,2
electricity,3
bolt,5
real,1
description,1
literature,1
hotel,2
opinion,1
lemon,7
food,7
lunch,7
entree,7
ally,2
gun,4
baby,5
malice,3
wallet,4
claim,1
newspaper,1
number,1
pool,5
escape,2
disagreement,2
grandmother,1
cup,5
water,7
exception,1
branch,4
bridge,4
beauty,3
message,1
occasion,2
puppy,6
foundation,2
manner,1
accomplishment,2
guess,5
consideration,1
resort,4
gender,2
hurt,2
apology,2
effect,1
comprehension,1
issue,2
significance,2
lesson,3
file,1
prediction,2
emergence,2
worry,4
parish,1
traveler,2
effort,2
boulder,1
fabric,3
crisis,5
art,4
child,3
anger,4
disappointment,5
darkness,2
amount,1
method,1
proportion,1
self,2
announcement,2
stride,2
propeller,1
calendar,2
admiration,4
necessity,2
confidence,3
empire,2
elephant,2
disaster,5
composer,3
radio,3
charity,3
article,1
individual,2
attitude,3
tallness,2
sky,4
genuine,3
show,2
advice,2
wolf,3
accident,5
production,2
reputation,3
sugar,7
orchid,4
microscope,1
performance,3
infection,5
rebel,3
poll,2
correspondent,2
lion,3
lake,4
riot,5
immortality,4
diet,6
recognition,3
photograph,4
tomato,7
awareness,3
state,2
location,2
tension,5
trust,3
suit,2
roof,1
opera,4
soul,4
lizard,3
risk,5
murder,5
imagination,4
thing,1
job,2
record,3
shark,5
mold,4
mosquito,5
sandal,4
pill,6
assistance,3
bubble,5
camera,4
owner,2
chocolate,7
irony,2
promotion,3
bandit,3
preference,3
chipmunk,4
size,1
contempt,4
unity,3
core,2
thief,3
increase,2
quality,2
helmet,4
liar,3
pillow,5
institute,1
acre,1
candidate,2
bottle,5
improvement,3
landscape,4
costume,4
border,2
steam,5
master,2
suspect,3
apple,7
ability,2
dove,4
lamb,5
sofa,4
boredom,3
wage,2
road,1
necklace,4
verse,3
guilt,5
distribution,2
lane,1
smell,7
itch,6
knife,5
park,3
sedative,5
injury,5
territory,3
income,2
photo,4
standard,1
sister,3
figure,2
justice,3
drama,4
response,2
kitten,6
fireplace,5
impairment,5
handkerchief,4
time,2
deceit,4
mother,3
