word,rating
suit,2
performance,3
cognition,1
hat,4
disappointment,5
city,3
independence,6
hotel,4
guilt,5
bubble,3
marriage,6
neighborhood,4
adversity,5
crown,3
fisherman,2
peach,4
lion,1
vapor,3
fantasy,5
advice,4
metaphor,3
blade,2
arc,1
lamp,4
square,3
accident,5
attitude,6
material,4
outcome,3
error,5
puddle,6
comparison,4
regulation,3
cowardice,5
engagement,6
site,4
professor,3
mosquito,2
mold,5
irony,4
contempt,6
purpose,7
knife,2
opportunity,5
curfew,3
despair,6
anxiety,5
cloth,4
truck,2
stride,3
three,1
mind,4
sword,2
spider,3
baby,6
inn,4
bullet,2
trumpet,3
costume,4
leopard,1
diversity,6
river,3
duty,4
math,1
bell,2
ceiling,3
blood,5
landscape,4
photograph,6
consideration,7
chief,3
witness,4
insight,6
fear,5
bird,3
butter,4
equality,6
perception,5
availability,3
weather,4
hierarchy,2
toilet,1
principle,6
propeller,3
future,5
riddle,4
promotion,6
annoyance,5
advantage,7
spelling,3
key,2
typewriter,1
sight,6
occasion,4
gun,2
odor,5
ambulance,3
past,4
lane,1
decision,6
volt,2
band,3
ocean,4
sedative,5
rabbit,2
opposition,6
clean,4
boy,3
riot,5
nerve,2
confidence,7
frustration,6
specialist,4
recognition,7
kitten,6
pawn,2
selection,5
mile,3
genuine,6
beetle,1
job,4
towel,3
issue,5
dynasty,2
sandal,4
establishment,3
dagger,2
neck,1
stapler,3
fight,5
lightning,4
lunch,2
second,1
child,6
exclusion,5
description,4
art,3
suggestion,6
development,7
magnitude,5
institute,4
sow,2
alley,3
time,1
honesty,7
produce,4
arrangement,5
bag,2
intention,6
group,4
body,3
rebel,5
midnight,2
drama,4
distraction,6
bracelet,3
proportion,5
horse,2
crime,6
core,4
personality,7
park,3
disaster,5
cocktail,4
suspect,6
philosophy,7
literature,5
limitation,3
magic,6
conscience,7
teacher,4
destiny,5
murder,2
assistance,6
escape,4
affection,7
ability,6
cake,3
football,2
brain,4
psalm,1
fountain,5
imagination,7
state,4
majority,6
tool,3
incentive,5
stranger,4
interaction,6
enemy,2
stick,1
leader,7
competence,6
bedroom,3
cottage,4
pest,2
subtraction,1
lake,3
jacket,4
volume,2
spirit,2
orchestra,3
improvement,4
darkness,2
chicken,3
mileage,4
steam,6
thought,2
criticism,3
reality,4
segment,5
robin,2
student,3
dozen,4
diet,5
rent,2
charity,3
security,4
helplessness,6
sadness,5
sole,2
apple,3
file,4
proof,5
island,2
reflex,3
intelligence,4
accomplishment,5
lettuce,2
physics,3
vocabulary,4
saloon,5
disagreement,6
revenge,4
protection,5
visitor,2
alphabet,3
brevity,4
synagogue,5
wolf,2
shrimp,3
duration,4
lamb,5
circuit,2
cup,3
conclusion,4
want,5
preference,2
grammar,3
reinforcement,4
idiom,5
forest,2
worry,3
branch,4
orchid,5
oven,2
effect,3
salary,4
atom,5
variety,2
beauty,3
assumption,4
republic,5
