word,rating
suit,1
performance,3
cognition,2
hat,1
disappointment,7
city,1
independence,5
hotel,1
guilt,7
bubble,1
marriage,6
neighborhood,1
adversity,6
crown,2
fisherman,1
peach,1
lion,1
vapor,1
fantasy,6
advice,3
metaphor,1
blade,1
arc,1
lamp,1
square,1
accident,5
attitude,6
material,1
outcome,2
error,4
puddle,1
comparison,2
regulation,1
cowardice,7
engagement,6
site,1
professor,1
mosquito,1
mold,1
irony,3
contempt,7
purpose,6
knife,1
opportunity,5
curfew,1
despair,7
anxiety,7
cloth,1
truck,1
stride,1
three,1
mind,6
sword,1
spider,1
baby,6
inn,1
bullet,1
trumpet,1
costume,1
leopard,1
diversity,2
river,1
duty,5
math,1
bell,1
ceiling,1
blood,1
landscape,1
photograph,4
consideration,6
chief,2
witness,2
insight,4
fear,7
bird,1
butter,1
equality,6
perception,2
availability,1
weather,1
hierarchy,2
toilet,1
principle,5
propeller,1
future,5
riddle,1
promotion,5
annoyance,7
advantage,2
spelling,1
key,1
typewriter,1
sight,2
occasion,3
gun,4
odor,3
ambulance,4
past,5
lane,1
decision,4
volt,1
band,1
ocean,3
sedative,4
rabbit,1
opposition,4
clean,1
boy,4
riot,6
nerve,6
confidence,7
frustration,7
specialist,1
recognition,6
kitten,5
pawn,1
selection,2
mile,1
genuine,5
beetle,1
job,2
towel,1
issue,2
dynasty,1
sandal,1
establishment,1
dagger,1
neck,1
stapler,1
fight,6
lightning,2
lunch,1
second,1
child,6
exclusion,6
description,1
art,6
suggestion,2
development,2
magnitude,2
institute,1
sow,1
alley,1
time,2
honesty,7
produce,1
arrangement,1
bag,1
intention,5
group,2
body,1
rebel,6
midnight,1
drama,6
distraction,4
bracelet,1
proportion,1
horse,1
crime,6
core,1
personality,7
park,1
disaster,7
cocktail,1
suspect,4
philosophy,3
literature,5
limitation,4
magic,4
conscience,7
teacher,2
destiny,5
murder,7
assistance,4
escape,5
affection,7
ability,2
cake,1
football,1
brain,5
psalm,5
fountain,1
imagination,6
state,2
majority,1
tool,1
incentive,5
stranger,4
interaction,4
enemy,6
stick,1
leader,3
competence,4
bedroom,1
cottage,1
pest,5
subtraction,1
lake,1
jacket,1
volume,1
spirit,6
orchestra,5
improvement,4
darkness,4
chicken,1
mileage,1
steam,1
thought,5
criticism,5
reality,2
segment,1
robin,1
student,1
dozen,1
diet,1
rent,1
charity,6
security,5
helplessness,7
sadness,7
sole,1
apple,1
file,1
proof,2
island,1
reflex,1
intelligence,2
accomplishment,6
lettuce,1
physics,1
vocabulary,1
saloon,1
disagreement,5
revenge,7
protection,5
visitor,1
alphabet,1
brevity,1
synagogue,1
wolf,1
shrimp,1
duration,1
lamb,1
circuit,1
cup,1
conclusion,2
want,7
preference,5
grammar,1
reinforcement,2
idiom,1
forest,1
worry,7
branch,1
orchid,1
oven,1
effect,2
salary,1
atom,1
variety,1
beauty,6
assumption,2
republic,1
object,1
belief,6
combination,1
guide,2
factory,1
real,2
effort,4
chocolate,4
flavor,2
composer,1
cucumber,1
hobby,5
empire,1
topic,1
pool,1
ally,5
mercy,7
scent,4
beaver,1
theory,1
drum,1
opinion,4
border,1
nose,1
safety,5
appeal,4
correspondent,1
number,1
tree,1
traveler,1
television,1
refrigerator,1
disgust,7
crisis,6
cause,2
lobster,1
shark,3
temperature,1
satisfaction,7
ditch,1
shame,7
flask,1
supply,1
menu,1
calculation,1
outfit,1
deputy,1
miracle,5
increase,1
lemon,1
attention,4
month,1
rule,1
snow,1
coupon,1
tension,6
phenomenon,1
truth,4
station,1
diamond,3
property,1
aspect,1
kite,1
construction,1
distribution,1
photo,4
paradigm,1
reduction,1
myth,4
punishment,6
brute,4
industry,1
necessity,4
faith,7
loan,1
income,1
summer,1
bed,1
ignorance,4
bolt,1
helmet,1
ceremony,5
paragraph,1
music,7
reason,3
heap,1
addition,1
adventurer,5
hazard,2
justification,4
rhyme,1
betrayal,7
chipmunk,1
sky,1
hurt,7
animal,1
corn,1
mud,1
candy,3
street,1
desk,1
rocket,1
gender,2
possibility,4
foundation,1
woman,4
entrance,1
attempt,2
idea,2
verse,1
grief,7
entree,1
wave,1
permission,2
fallacy,2
wisdom,5
expression,6
territory,1
abundance,2
infection,1
method,1
charter,1
volcano,1
deceit,7
grass,1
moment,4
ignition,1
thief,4
holiday,5
peace,7
introduction,1
fat,1
economy,1
roof,1
palace,1
scene,3
hurricane,5
camera,1
regret,7
boat,1
identification,2
preparation,2
starch,1
definition,1
evidence,2
distance,1
tennis,1
benefactor,5
nation,2
grandmother,6
resort,1
occupation,1
immortality,5
bridge,1
burner,1
claim,2
friendship,7
announcement,2
payment,1
form,1
mankind,5
soul,6
butterfly,3
boredom,7
youth,4
pillow,1
memory,6
weight,1
injury,5
legality,1
owner,1
uncle,3
member,1
hatred,7
category,1
shock,7
amplitude,1
march,1
frog,1
skill,1
uniform,1
design,1
anger,7
information,1
