word,properties,codes,frequencies
ability,"['talent', 'muscles', 'instrument', 'practice']","['other abstract concept', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
accusation,"['finger', 'courtroom', 'denial', 'evidence']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['marathon', 'diploma', 'promotion', 'summit']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
activity,"['movement', 'schedule', 'sweat', 'energy']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
addiction,"['dopamine', 'shackles', 'repetition', 'craving']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
admiration,"['applause', 'pedestal', 'inspiration', 'gaze']","['association', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
advantage,"['chess', 'leverage', 'headstart', 'podium']","['association', 'other abstract concept', 'other abstract concept', 'association']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['map', 'compass', 'mountain', 'horizon']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
advice,"['mentor', 'crossroads', 'wisdom', 'perspective']","['social constellation', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
agony,"['thorns', 'marathon', 'shriek', 'wildfire']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
agreement,"['handshake', 'contract', 'nod', 'compromise']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
amazement,"['starlight', 'fireworks', 'epiphany', 'breathlessness']","['association', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
ambition,"['ladder', 'marathon', 'sunrise', 'fuel']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['camouflage', 'silence', 'tension', 'predator']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
amusement,"['rollercoasters', 'laughter', 'carnival', 'games']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['heat', 'clenched', 'injustice', 'storm']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'association']","[0.5, 0.0, 0.0, 0.5]"
anxiety,"['heartbeat', 'restlessness', 'anticipation', 'shadows']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
apology,"['regret', 'handshake', 'bridge', 'silence']","['internal state and emotion', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
appearance,"['mirror', 'fashion', 'first impressions', 'camouflage']","['sensorimotor feature', 'association', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
appetite,"['hunger', 'banquet', 'cravings', 'digestion']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
application,"['smartphone', 'interview', 'glue', 'surface']","['association', 'social constellation', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
aptitude,"['talent', 'test', 'machinery', 'potential']","['other abstract concept', 'association', 'association', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
argument,"['shouting', 'courtroom', 'misunderstanding', 'tension']","['sensorimotor feature', 'association', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
art,"['canvas', 'museum', 'brush', 'expression']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
