word,rating
lake,3
ambition,5
chance,2
individual,4
apology,6
opponent,4
boredom,2
cowardice,7
beetle,1
silence,3
bet,3
animal,2
coupon,2
faith,5
liar,7
lip,2
tongue,3
originality,4
ankle,1
potato,1
accumulation,3
outfit,2
chair,2
cognition,5
station,3
disaster,4
real,3
dilemma,7
scene,3
ally,4
ownership,6
theory,4
reinforcement,6
puppy,2
guide,5
damage,4
circumstance,3
state,4
response,5
key,3
boat,2
degree,3
crown,4
myth,3
blood,4
deduction,5
forest,2
latch,1
tune,2
show,3
interior,3
starch,1
mankind,5
infection,2
fabric,2
wood,2
tragedy,6
germ,2
iron,3
spider,1
calendar,3
affection,5
photograph,2
territory,4
incident,3
vapor,1
dentist,2
sword,5
flavor,2
clean,3
consistency,6
appeal,4
identification,5
fact,3
route,3
linen,1
macaroni,1
skin,2
stride,3
writing,4
roof,2
menu,2
division,4
value,5
suit,3
lamp,2
personality,6
contract,7
cloth,2
amount,3
intention,6
magic,3
confidence,5
duration,3
sandal,1
thing,2
mattress,1
addition,2
newspaper,3
opposition,4
leopard,1
pigeon,1
clearance,5
opinion,2
play,2
heart,5
irrigation,2
clothing,2
distance,2
fate,3
calculation,4
number,2
wisdom,7
vocabulary,3
talent,3
character,7
nose,1
salad,1
tree,2
risk,4
definition,3
ditch,3
hobby,2
adversity,5
inn,2
butter,1
pyramid,4
tomato,1
riot,6
independence,5
itch,1
temple,5
teacher,7
brain,5
occupation,2
ignition,3
suspect,5
costume,2
door,1
necessity,4
equality,7
orchid,1
bag,2
dove,1
chlorine,1
reflex,2
conference,4
result,3
helmet,2
beauty,3
shortness,1
verse,1
exception,3
bird,1
circuit,2
queen,6
charter,7
principle,7
music,2
want,3
relief,3
moral,7
jerk,6
metaphor,1
scent,1
girl,2
tradition,5
development,4
crisis,5
bubble,1
camera,2
pond,1
decision,7
job,2
frustration,3
error,4
student,2
reputation,5
fear,3
tool,2
shrimp,1
refrigerator,1
empty,1
kindness,7
impairment,4
wish,3
alligator,1
moment,2
injury,6
master,5
file,1
factory,2
body,2
weight,2
tide,1
lemon,1
television,3
coffin,4
admiration,5
tip,2
complication,2
shock,3
past,2
park,1
line,4
nerve,3
income,3
specialist,4
lesson,5
cause,5
squeak,1
insight,5
hotel,4
peacemaker,7
law,7
conscience,7
misery,2
dimension,2
pill,3
alley,1
banana,1
pest,3
debt,5
march,5
justice,7
sanctuary,5
meeting,3
cucumber,1
expression,4
opera,2
significance,5
intelligence,3
object,1
tallness,1
grasshopper,1
purpose,5
mosquito,3
assault,7
pillow,1
anxiety,2
hope,4
fountain,3
benefactor,6
love,7
drum,1
