word,rating
truth,2
legality,3
drug,4
stranger,2
band,2
hotel,2
material,2
lesson,2
victim,2
extent,2
burner,3
suggestion,2
dagger,3
site,2
consequence,2
thing,2
degree,2
unity,2
duty,2
combination,2
guess,2
tool,2
incentive,2
anger,3
manner,2
satisfaction,3
supply,2
bag,2
paragraph,2
neighborhood,2
trust,2
philosophy,2
route,2
father,2
wolf,3
vocabulary,2
incident,2
teacher,2
contract,2
factory,2
rabbit,3
reality,2
territory,2
chief,2
salary,2
outcome,2
past,2
assumption,2
institute,2
chicken,4
street,2
willingness,2
reinforcement,2
crocodile,3
diet,4
bet,2
entree,5
fog,3
rule,2
example,2
moment,2
uncle,2
deputy,2
cow,3
result,2
coincidence,2
thorn,3
fat,4
occasion,2
mile,2
advantage,2
rent,2
time,2
spirit,2
corporation,2
helmet,2
composer,2
distance,2
engagement,2
duel,3
gender,2
individual,2
specialist,2
mankind,2
sky,2
gesture,2
cliff,2
line,2
tree,3
promotion,2
donor,2
acquisition,2
leader,2
replacement,2
flask,3
obstruction,2
pest,3
confidence,2
episode,2
show,2
hurricane,3
eight,2
calendar,2
bank,2
meeting,2
necklace,2
opposition,2
miracle,2
peach,5
christmas,3
vision,2
tension,2
odor,6
inch,2
perception,2
appointment,2
cocktail,4
blade,3
truck,2
peacemaker,2
marriage,2
chair,2
cranberry,5
payment,2
belief,2
microscope,2
significance,2
speech,2
cause,2
loan,2
entrance,2
lock,2
tennis,2
bed,2
retention,2
skunk,6
silence,2
coffee,5
scholar,2
holiday,2
paradigm,2
river,2
limitation,2
volt,2
description,2
bird,2
diversity,2
salad,4
trumpet,2
child,2
march,2
stride,2
apology,2
boulder,2
fallacy,2
shortness,2
knowledge,2
kite,2
diamond,2
starch,3
hat,2
pimple,2
advice,2
costume,2
mileage,2
exception,2
mud,3
skin,2
brevity,2
blood,4
record,2
puppy,2
heap,2
lobster,4
robbery,2
spelling,2
stapler,2
fabric,2
vapor,3
poll,2
road,2
handkerchief,2
stick,2
hospital,2
job,2
grammar,2
radio,2
irrigation,2
genuine,2
location,2
personality,2
waste,2
darkness,2
island,2
guilt,2
pie,4
difference,2
mastery,2
bullet,2
insight,2
metaphor,2
lunch,4
faith,2
midnight,2
typewriter,2
bolt,2
