word,rating
truth,1
legality,1
drug,3
stranger,2
band,6
hotel,2
material,2
lesson,3
victim,2
extent,1
burner,3
suggestion,2
dagger,2
site,1
consequence,1
thing,1
degree,1
unity,1
duty,1
combination,1
guess,1
tool,2
incentive,1
anger,2
manner,1
satisfaction,1
supply,1
bag,2
paragraph,2
neighborhood,2
trust,1
philosophy,1
route,2
father,2
wolf,3
vocabulary,2
incident,1
teacher,3
contract,1
factory,3
rabbit,2
reality,1
territory,1
chief,2
salary,1
outcome,1
past,1
assumption,1
institute,2
chicken,3
street,3
willingness,1
reinforcement,1
crocodile,2
diet,1
bet,2
entree,2
fog,1
rule,1
example,1
moment,1
uncle,2
deputy,2
cow,3
result,1
coincidence,1
thorn,1
fat,1
occasion,1
mile,1
advantage,1
rent,1
time,1
spirit,2
corporation,1
helmet,2
composer,5
distance,1
engagement,2
duel,2
gender,1
individual,1
specialist,2
mankind,1
sky,1
gesture,2
cliff,1
line,2
tree,2
promotion,1
donor,1
acquisition,1
leader,2
replacement,1
flask,2
obstruction,1
pest,2
confidence,1
episode,3
show,5
hurricane,4
eight,1
calendar,1
bank,2
meeting,3
necklace,1
opposition,1
miracle,1
peach,1
christmas,4
vision,1
tension,1
odor,1
inch,1
perception,1
appointment,2
cocktail,2
blade,2
truck,4
peacemaker,2
marriage,2
chair,2
cranberry,1
payment,1
belief,1
microscope,1
significance,1
speech,6
cause,1
loan,1
entrance,2
lock,2
tennis,4
bed,1
retention,1
skunk,2
silence,7
coffee,2
scholar,2
holiday,3
paradigm,1
river,3
limitation,1
volt,2
description,2
bird,5
diversity,1
salad,1
trumpet,7
child,4
march,6
stride,2
apology,4
boulder,1
fallacy,1
shortness,1
knowledge,1
kite,2
diamond,1
starch,1
hat,1
pimple,1
advice,2
costume,2
mileage,1
exception,1
mud,1
skin,1
brevity,1
blood,1
record,5
puppy,4
heap,1
lobster,2
robbery,3
spelling,3
stapler,2
fabric,1
vapor,1
poll,1
road,2
handkerchief,1
stick,2
hospital,3
job,1
grammar,2
radio,7
irrigation,2
genuine,1
location,1
personality,2
waste,2
darkness,1
island,2
guilt,1
pie,1
difference,1
mastery,1
bullet,4
insight,1
metaphor,2
lunch,2
faith,1
midnight,2
typewriter,5
bolt,3
wood,1
disappointment,1
ignition,3
quality,1
conclusion,1
ballot,1
bracelet,1
propeller,4
hierarchy,1
escape,2
definition,1
grasshopper,3
identity,1
skull,1
preference,1
temple,2
nose,2
interruption,4
item,1
mold,1
disagreement,3
zoo,5
cucumber,1
mother,2
crime,2
electricity,3
friendship,1
sight,1
sister,2
value,1
atrocity,1
ignorance,1
establishment,1
sow,2
charity,1
shame,1
woman,2
tradition,1
arc,1
refrigerator,3
sedative,1
safety,1
murder,2
fantasy,1
mustard,1
grandmother,2
liar,4
coupon,1
nation,1
animal,3
knife,2
reason,1
intention,1
honesty,1
uniform,1
protection,1
pool,2
addition,1
story,4
awareness,1
adventurer,2
fireplace,3
state,1
frog,4
performance,5
squeak,7
mansion,2
station,4
emergence,1
edge,1
division,1
issue,1
betrayal,1
linen,1
potato,1
grass,2
roof,2
kitten,4
punishment,2
bottle,2
sandal,1
number,1
irony,1
riddle,2
pretense,1
consideration,1
category,1
lisp,6
chance,1
queen,2
origin,1
brute,2
calculation,1
jerk,3
adversity,1
logic,1
majority,1
claim,2
selection,1
flavor,1
measure,1
ceiling,1
oven,2
apple,1
independence,1
affection,1
hurt,3
loafer,1
underworld,2
improvement,1
tip,1
method,1
view,1
name,4
translation,2
member,1
lake,2
macaroni,1
corpse,1
intelligence,1
alley,2
rainbow,1
love,2
beetle,2
ally,1
leopard,2
injury,2
uncertainty,1
justification,1
tendency,1
attitude,1
context,1
lemon,1
twig,1
aspect,1
door,2
menu,2
impairment,1
pond,2
water,3
capacity,1
self,1
figure,2
snow,2
moral,1
duck,4
cake,1
dentist,3
riot,5
risk,1
clothing,1
attempt,1
destiny,1
margin,1
brain,1
design,1
rhyme,7
exclusion,1
brawl,5
youth,1
prop,2
situation,1
peace,1
resort,2
explanation,2
effect,1
presence,1
gun,4
effort,1
disaster,3
park,3
horse,4
television,6
imagination,1
thought,1
sole,1
candy,1
unit,1
heart,2
damage,2
real,1
complication,1
comparison,1
germ,1
poetry,5
car,4
hope,1
tomato,1
writing,3
fight,5
arrangement,2
jewel,1
ditch,1
theory,1
debt,1
tide,3
stupidity,1
criticism,3
city,4
recital,6
mind,1
eyeball,1
lettuce,1
opportunity,1
corn,1
football,5
worry,1
beauty,1
phenomenon,1
talent,2
property,1
interior,1
revenge,2
convergence,1
appeal,2
impossibility,1
bandit,2
sugar,1
possibility,1
boundary,1
literature,3
landscape,1
announcement,5
shock,3
elephant,3
identification,1
kindness,1
permission,1
bridge,2
circumstance,1
clearance,1
steam,2
cognition,1
nerve,1
moonlight,1
mountain,1
skill,1
comprehension,1
robin,4
lizard,2
hazard,2
distraction,2
missile,4
food,2
instructor,3
professor,2
mosquito,4
attention,1
clean,1
physics,1
winter,2
master,2
information,1
misery,1
scent,1
second,1
medicine,2
construction,3
dozen,1
alligator,2
decision,1
snake,3
cup,2
owner,1
forest,3
mystery,1
regulation,1
dimension,1
circuit,2
responsibility,1
duration,1
play,6
volume,5
visitor,2
fate,1
suspect,3
competence,1
gorilla,3
magic,2
itch,1
prediction,1
contempt,1
leadership,1
reduction,1
importance,1
annoyance,2
parish,2
hog,3
curfew,2
group,1
baby,5
fear,2
lens,1
idea,1
suit,2
pile,1
accumulation,1
dynasty,1
camera,2
interaction,2
empty,1
stimulus,1
production,4
butter,1
object,1
integrity,1
drum,7
core,1
lily,1
latch,2
conference,3
shirt,1
ankle,1
girl,2
candidate,2
sneeze,6
autumn,2
season,1
sadness,1
variety,1
eagle,3
event,2
originality,1
photograph,1
fisherman,2
laundry,2
law,1
arrow,2
frustration,1
boredom,1
photo,1
grief,1
palace,2
heresy,1
industry,2
increase,1
weather,3
correspondent,2
chipmunk,3
danger,2
wallet,1
neck,1
wage,1
opinion,1
ability,1
chlorine,2
hatred,1
lion,4
accident,4
body,1
crown,1
wish,1
thief,3
orchid,1
fact,1
dilemma,1
length,1
wave,3
sofa,1
boy,2
tragedy,2
caterpillar,2
sword,2
alphabet,3
ceremony,4
lightning,6
assistance,1
disgust,1
pillow,1
ring,5
traveler,2
recognition,1
myth,2
foundation,1
economy,1
justice,1
freedom,1
beast,3
music,7
verse,5
regret,1
branch,1
border,1
standard,1
wisdom,1
drama,4
atom,1
synagogue,3
jacket,1
shark,2
relief,1
topic,1
instance,1
lamb,3
separation,1
conscience,1
student,2
specimen,1
art,3
banana,1
beaver,2
doctor,2
summer,2
distribution,1
artist,3
cowardice,1
determination,1
crisis,2
tallness,1
lamp,1
file,2
form,1
behavior,1
shape,1
evidence,1
ball,2
republic,1
opera,7
soul,1
amplitude,2
ambition,1
fountain,3
ambulance,6
admiration,1
weight,1
bell,7
window,1
principle,1
coffin,1
equality,1
raspberry,1
want,1
pig,3
hobby,1
policeman,3
assault,4
acre,1
tune,7
square,1
reputation,1
income,1
key,2
beverage,1
future,1
amount,1
toilet,3
fifteen,1
consistency,1
lane,2
towel,1
pigeon,3
occupation,1
ownership,1
magnitude,1
democracy,1
onion,1
opponent,2
purpose,1
development,1
benefactor,1
envy,1
laughter,7
church,4
newspaper,2
empire,1
math,1
cottage,2
brother,2
charter,1
necessity,1
expression,3
pawn,1
helplessness,1
produce,1
abundance,1
immortality,1
pill,1
tax,1
size,1
security,1
article,2
deceit,1
deduction,1
rebel,3
scene,2
mattress,1
memory,1
message,4
volcano,2
malice,1
saloon,4
accomplishment,1
spider,2
desk,1
inn,2
tongue,3
response,3
instinct,1
cat,4
sanctuary,2
money,2
character,2
dove,3
bedroom,2
segment,1
iron,1
bubble,3
boat,3
lip,2
denial,2
idiom,2
outfit,1
availability,1
three,1
pyramid,1
mercy,1
despair,1
nurse,3
infection,1
preparation,1
chocolate,1
month,1
reflex,1
error,1
proof,1
rocket,5
enemy,2
cloth,1
orchestra,7
witness,2
ocean,4
dad,2
psalm,6
puddle,1
proportion,1
requirement,1
butterfly,2
introduction,3
smell,1
anxiety,1
subtraction,1
temperature,1
shrimp,1
university,2
guide,2
