word,rating
scholar,3
deputy,2
produce,1
woman,5
scent,3
ambulance,4
doctor,4
obstruction,2
three,1
flavor,2
volcano,2
cow,2
ankle,1
clearance,1
nerve,3
helmet,1
chief,2
cake,2
manner,3
pill,2
robbery,5
marriage,6
spirit,6
speech,3
scene,2
math,1
freedom,6
atom,1
kindness,7
cat,2
ballot,2
abundance,2
incentive,3
guess,2
effort,3
pond,1
impairment,3
grass,1
belief,5
door,1
conclusion,2
photograph,2
photo,2
explanation,2
chocolate,3
candy,2
sword,2
presence,3
admiration,7
lobster,1
jerk,4
knife,2
crime,5
betrayal,7
microscope,1
bracelet,2
emergence,2
mansion,2
escape,4
heresy,3
stimulus,2
deduction,1
reduction,1
pig,1
sugar,2
lamb,2
loan,2
frog,1
lane,1
gorilla,2
flask,1
music,5
willingness,4
hurt,6
combination,1
lightning,2
foundation,1
confidence,6
contempt,7
contract,2
skin,2
magic,4
conscience,6
evidence,1
response,2
addition,1
ceiling,1
brawl,4
pimple,2
temple,3
saloon,2
integrity,5
suit,2
industry,1
fountain,1
occasion,2
file,1
comparison,1
border,1
sandal,1
future,4
money,3
accomplishment,5
composer,3
correspondent,2
month,1
pie,1
conference,2
burner,1
fog,2
disappointment,7
forest,2
linen,1
student,3
kitten,3
thorn,2
zoo,2
enemy,6
hurricane,3
route,1
fabric,1
boredom,6
ignorance,4
sow,1
character,5
cranberry,1
cup,1
episode,1
assistance,4
duration,1
squeak,1
paradigm,1
circuit,1
disagreement,5
hazard,3
arc,1
toilet,1
bottle,1
tool,1
snow,2
permission,3
awareness,4
heart,6
poetry,5
importance,3
pool,1
stick,1
beauty,6
subtraction,1
translation,1
pile,1
performance,3
hospital,4
criticism,5
apology,6
park,1
medicine,3
mile,1
inn,1
grandmother,5
circumstance,2
trust,7
engagement,5
location,1
lettuce,1
tradition,3
cloth,1
alphabet,1
diamond,3
moment,3
child,6
arrangement,1
island,2
variety,1
information,1
latch,1
chicken,2
artist,4
beaver,1
refrigerator,1
destiny,5
tip,1
grammar,1
hotel,2
brevity,1
shortness,1
capacity,2
worry,7
owner,2
view,2
denial,5
issue,2
personality,5
boy,4
entrance,1
orchid,2
radio,1
hatred,7
opera,4
steam,1
phenomenon,1
lizard,1
visitor,2
ambition,5
mankind,4
brother,5
crocodile,1
error,3
miracle,5
bell,1
germ,2
property,1
bet,2
hog,1
bed,2
deceit,6
member,1
intention,4
hope,7
specialist,2
attitude,5
poll,1
salary,2
fireplace,2
rocket,2
past,4
misery,7
thought,5
entree,1
want,5
skull,2
margin,1
ceremony,4
extent,1
potato,1
reputation,4
determination,5
increase,1
independence,6
genuine,3
story,4
