word,response,properties
abominable,"Extremely hateful
Morally disgusting
Shockingly bad
Deserving strong condemnation
Provokes revulsion","['Extremely hateful', 'Morally disgusting', 'Shockingly bad', 'Deserving strong condemnation', 'Provokes revulsion']"
accessible,"Easy to reach
Can be entered or used
Not blocked by barriers
Understandable to many people
Designed for people with disabilities","['Easy to reach', 'Can be entered or used', 'Not blocked by barriers', 'Understandable to many people', 'Designed for people with disabilities']"
accurate,"Matches reality
Free of mistakes
Exact measurement
Correct in detail
Trusted results","['Matches reality', 'Free of mistakes', 'Exact measurement', 'Correct in detail', 'Trusted results']"
accusation,"Claim of wrongdoing
Directed at someone
Often without proof
Common in arguments or court
Blames a person for an act","['Claim of wrongdoing', 'Directed at someone', 'Often without proof', 'Common in arguments or court', 'Blames a person for an act']"
admiration,"Respectful positive feeling
For excellence or character
Looking up to someone
Often inspired by achievements
Can include praise without desire","['Respectful positive feeling', 'For excellence or character', 'Looking up to someone', 'Often inspired by achievements', 'Can include praise without desire']"
adoring,"Looking at someone with great affection
Warm, tender expression
Full of love and admiration
Often shown toward a cherished person
Gentle, devoted attention","['Looking at someone with great affection', 'Warm, tender expression', 'Full of love and admiration', 'Often shown toward a cherished person', 'Gentle, devoted attention']"
affection,"Warm feeling
Toward a person or pet
Gentle caring
Shown by hugs or kind words
More tender than mere liking","['Warm feeling', 'Toward a person or pet', 'Gentle caring', 'Shown by hugs or kind words', 'More tender than mere liking']"
affirmation,"Statement of support
Confirms something true
Positive declaration
Expresses agreement
Often spoken for encouragement","['Statement of support', 'Confirms something true', 'Positive declaration', 'Expresses agreement', 'Often spoken for encouragement']"
affordable,"Low cost
Within budget
Easy to pay for
Not financially burdensome
Reasonably priced","['Low cost', 'Within budget', 'Easy to pay for', 'Not financially burdensome', 'Reasonably priced']"
aging,"Growing older
Happens over time
Hair grays
Skin wrinkles
Body weakens","['Growing older', 'Happens over time', 'Hair grays', 'Skin wrinkles', 'Body weakens']"
agitation,"Restless movement
Heightened emotional upset
Pacing or fidgeting
Disturbed calm
Often from stress or irritation","['Restless movement', 'Heightened emotional upset', 'Pacing or fidgeting', 'Disturbed calm', 'Often from stress or irritation']"
agree,"Same opinion
Say yes
Accept a proposal
Between people in discussion
No objection","['Same opinion', 'Say yes', 'Accept a proposal', 'Between people in discussion', 'No objection']"
amazing,"Causes wonder
Better than expected
Strong positive reaction
Hard to believe
Makes people impressed","['Causes wonder', 'Better than expected', 'Strong positive reaction', 'Hard to believe', 'Makes people impressed']"
amused,"Mild pleasure
Caused by something funny
Small smile
Entertained, not serious
Brief lighthearted reaction","['Mild pleasure', 'Caused by something funny', 'Small smile', 'Entertained, not serious', 'Brief lighthearted reaction']"
angry,"Raised voice
Frowning face
After unfair treatment
Wants to argue
Strong displeasure","['Raised voice', 'Frowning face', 'After unfair treatment', 'Wants to argue', 'Strong displeasure']"
angst,"Vague inner dread
Restless emotional turmoil
Common in adolescence
Brooding, dissatisfied mood
Existential worry about life","['Vague inner dread', 'Restless emotional turmoil', 'Common in adolescence', 'Brooding, dissatisfied mood', 'Existential worry about life']"
annoyed,"Mild irritation
By repeated bother
Wants it to stop
Eye-rolling, sighing
Less intense than anger","['Mild irritation', 'By repeated bother', 'Wants it to stop', 'Eye-rolling, sighing', 'Less intense than anger']"
anxious,"Worried anticipation
Uneasy about what might happen
Restless, hard to relax
Before an exam or big event
Tense stomach, racing thoughts","['Worried anticipation', 'Uneasy about what might happen', 'Restless, hard to relax', 'Before an exam or big event', 'Tense stomach, racing thoughts']"
appeal,"Attracts interest
Makes people like it
Pleasing quality
Often in looks or style
Draws admiration or desire","['Attracts interest', 'Makes people like it', 'Pleasing quality', 'Often in looks or style', 'Draws admiration or desire']"
appreciation,"Feeling thankful
Recognizing value
For kindness or beauty
Shown with praise
Respectful acknowledgment","['Feeling thankful', 'Recognizing value', 'For kindness or beauty', 'Shown with praise', 'Respectful acknowledgment']"
apprehensive,"Uneasy about what may happen
Before a difficult event
Expecting possible trouble
Nervous, watchful body tension
Hesitant, not fully reassured","['Uneasy about what may happen', 'Before a difficult event', 'Expecting possible trouble', 'Nervous, watchful body tension', 'Hesitant, not fully reassured']"
ashamed,"After doing something wrong
Want to hide your face
Embarrassed by yourself
Avoid others' eyes
Feeling personal disgrace","['After doing something wrong', 'Want to hide your face', 'Embarrassed by yourself', ""Avoid others' eyes"", 'Feeling personal disgrace']"
assassinate,"Deliberately kill
Specific important person
Usually political motive
Planned, targeted attack
Often sudden, public act","['Deliberately kill', 'Specific important person', 'Usually political motive', 'Planned, targeted attack', 'Often sudden, public act']"
astonished,"Sudden shock
Eyes wide
Mouth open
Unexpected news
Strong disbelief","['Sudden shock', 'Eyes wide', 'Mouth open', 'Unexpected news', 'Strong disbelief']"
atrocity,"Extremely cruel act
Shocks moral conscience
Often during war
Large-scale human suffering
Deliberate brutality","['Extremely cruel act', 'Shocks moral conscience', 'Often during war', 'Large-scale human suffering', 'Deliberate brutality']"
