word,rating
line,2
skill,3
nose,2
knowledge,4
information,2
rainbow,5
ownership,3
faith,6
affection,7
zoo,2
correspondent,2
rebel,4
moonlight,4
photo,2
opportunity,3
anger,7
coupon,2
adventurer,4
fabric,2
itch,3
character,4
cat,3
crisis,5
danger,6
sneeze,2
identification,2
writing,3
behavior,4
tendency,3
burner,1
baby,5
variety,2
mansion,2
uncle,3
macaroni,1
prediction,3
mud,1
engagement,4
square,2
odor,2
window,2
route,2
tide,2
location,2
resort,2
destiny,5
preference,3
helmet,2
occasion,3
outcome,3
unity,4
deduction,2
fate,5
safety,4
cottage,2
irony,4
fear,7
horse,2
onion,2
peace,6
cake,2
opinion,3
bandit,4
imagination,5
tradition,3
belief,5
method,2
menu,1
measure,2
importance,4
propeller,1
park,2
development,2
escape,3
kitten,4
volcano,2
consistency,3
diamond,2
promotion,2
pillow,2
confidence,5
literature,2
incentive,2
ally,4
donor,3
magic,5
arrangement,2
boulder,1
produce,2
independence,4
autumn,3
honesty,5
island,2
love,7
poll,2
entrance,2
pest,2
shortness,2
suspect,3
example,2
cowardice,6
alley,2
opera,2
thief,4
factory,2
charter,2
lobster,1
peacemaker,5
combination,2
liar,4
degree,2
size,2
duck,2
fisherman,2
heresy,3
significance,3
vocabulary,2
guess,2
murder,6
bridge,2
boy,3
microscope,1
lisp,2
university,2
lily,2
fight,5
opposition,4
ditch,1
preparation,2
chicken,2
sow,1
salad,1
betrayal,6
mercy,6
street,2
dimension,2
calendar,2
income,2
fog,2
originality,3
curfew,2
weather,2
music,4
willingness,5
rent,2
bed,2
underworld,3
wish,5
starch,1
wallet,2
volume,2
grief,7
elephant,2
explanation,2
miracle,5
idiom,2
episode,2
announcement,2
past,2
station,2
riot,5
soul,6
effect,2
selection,2
bullet,2
stick,2
proportion,2
property,2
memory,3
contract,2
intention,4
lens,2
assumption,2
recognition,3
youth,3
silence,3
cloth,2
performance,3
recital,2
master,2
salary,2
ankle,2
mother,5
foundation,2
story,3
cucumber,1
availability,2
nurse,3
metaphor,2
grass,1
brother,4
handkerchief,2
comprehension,2
banana,1
television,2
snow,2
amount,2
suit,2
neck,2
clearance,2
standard,2
legality,2
convergence,2
art,2
trumpet,2
diet,2
institute,2
appeal,3
costume,2
prop,2
proof,2
oven,1
candy,3
contempt,6
ceremony,2
eyeball,2
dentist,2
suggestion,2
beauty,4
waste,2
chocolate,2
shirt,2
cause,3
integrity,4
hog,2
nation,2
lamb,3
conscience,5
chlorine,1
extent,2
drama,4
anxiety,6
design,2
record,2
cranberry,1
money,2
mustard,1
calculation,2
protection,3
leadership,4
adversity,5
skin,2
snake,2
mold,1
effort,3
increase,2
subtraction,2
duration,2
description,2
member,2
dynasty,2
revenge,5
production,2
skull,2
mile,2
necessity,3
ambition,4
branch,2
child,4
enemy,4
identity,3
potato,1
professor,2
mosquito,2
doctor,2
artist,2
girl,3
crocodile,2
job,2
debt,2
missile,2
palace,2
tension,4
food,2
issue,2
church,2
assistance,2
supply,2
mankind,2
stranger,3
composer,2
idea,2
appointment,2
decision,2
drum,2
chance,3
hierarchy,2
manner,2
spirit,5
bolt,2
hatred,7
show,2
conclusion,2
pig,2
lion,2
retention,2
interaction,2
tax,2
midnight,3
bracelet,2
specialist,2
risk,3
physics,2
roof,2
frog,2
grandmother,4
body,2
circuit,2
dad,3
bet,2
camera,2
impairment,2
site,2
animal,2
equality,3
poetry,2
boredom,5
response,2
coffee,2
want,3
nerve,2
corn,1
play,3
trust,5
orchestra,2
wisdom,4
inch,2
duty,3
industry,2
limitation,2
hurt,5
capacity,2
car,2
ocean,2
injury,4
radio,2
misery,6
butter,1
chipmunk,2
reflex,2
incident,2
father,4
hospital,2
unit,2
origin,2
translation,2
envy,6
mystery,3
entree,1
