word,response,properties
ability,"word: ability
properties: skill, talent, power, capacity","['skill', 'talent', 'power', 'capacity']"
accusation,"word: accusation
properties: courtroom, denial, guilt, rumor","['courtroom', 'denial', 'guilt', 'rumor']"
achievement,"word: achievement
properties: trophy, celebration, graduation, hard work","['trophy', 'celebration', 'graduation', 'hard work']"
activity,"word: activity
properties: running, reading, thinking, sleeping","['running', 'reading', 'thinking', 'sleeping']"
addiction,"addiction: habit, compulsion, dependency, craving",[]
admiration,"word: admiration
properties: respect, hero, applaud, skill","['respect', 'hero', 'applaud', 'skill']"
advantage,"word: advantage
properties: edge, upper hand, head start, benefit","['edge', 'upper hand', 'head start', 'benefit']"
adventure,"word: adventure
properties: discovery, risk, journey, unknown","['discovery', 'risk', 'journey', 'unknown']"
advice,"word: advice
properties: counselor, mentor, helping hand, wisdom","['counselor', 'mentor', 'helping hand', 'wisdom']"
agony,"word: agony
properties: scream, blood, pain, loss","['scream', 'blood', 'pain', 'loss']"
agreement,"word: agreement
properties: handshake, contract, understanding, compromise","['handshake', 'contract', 'understanding', 'compromise']"
amazement,"word: amazement
properties: wide eyes, gasping, fireworks, magic trick","['wide eyes', 'gasping', 'fireworks', 'magic trick']"
ambition,"word: ambition
properties: climb, goal, success, drive","['climb', 'goal', 'success', 'drive']"
ambush,"word: ambush
properties: trap, sneak, attack, sudden","['trap', 'sneak', 'attack', 'sudden']"
amusement,"word: amusement
properties: laughter, play, circus, game","['laughter', 'play', 'circus', 'game']"
anger,"anger:
properties: frustration, shouting, red face, stomping feet","['frustration', 'shouting', 'red face', 'stomping feet']"
anxiety,"word: anxiety
properties: racing heart, knot in stomach, worried thoughts, sleepless nights","['racing heart', 'knot in stomach', 'worried thoughts', 'sleepless nights']"
apology,"word: apology
properties: regret, reconciliation, forgiveness, remorse","['regret', 'reconciliation', 'forgiveness', 'remorse']"
appearance,"appearance: mirror, clothing, reflection, disguise",[]
appetite,"word: appetite
properties: hunger, food, desire, stomach","['hunger', 'food', 'desire', 'stomach']"
application,"application
properties: software, resume, sticky note, job","['software', 'resume', 'sticky note', 'job']"
aptitude,"aptitude: test, talent, skill, learning",[]
argument,"word: argument
properties: raised voices, differing opinions, logic, frustration","['raised voices', 'differing opinions', 'logic', 'frustration']"
art,"word: art
properties: museum, paint, canvas, sculpture","['museum', 'paint', 'canvas', 'sculpture']"
aspect,"word: aspect
properties: viewpoint, appearance, facet, phase","['viewpoint', 'appearance', 'facet', 'phase']"
assassination,"word: assassination
properties: bullet, betrayal, conspiracy, throne","['bullet', 'betrayal', 'conspiracy', 'throne']"
assumption,"word: assumption
properties: guess, belief, presumption, conjecture","['guess', 'belief', 'presumption', 'conjecture']"
astonishment,"word: astonishment
properties: gaping mouth, wide eyes, speechless, sudden realization","['gaping mouth', 'wide eyes', 'speechless', 'sudden realization']"
attack,"attack: invade, defense, sudden, enemy",[]
attention,"attention: spotlight, focus, listener, observation",[]
attraction,"attraction: magnetism, chemistry, pull, interest",[]
beauty,"word: beauty
properties: sunrise, art, music, nature","['sunrise', 'art', 'music', 'nature']"
being,"word: being
properties: existence, alive, consciousness, reality","['existence', 'alive', 'consciousness', 'reality']"
betrayal,"word: betrayal
properties: broken trust, secret, pain, deception","['broken trust', 'secret', 'pain', 'deception']"
blackmail,"blackmail: extortion, secrets, threats, consequences",[]
